artist_name,birth_year,birth_year_key,style_name,style_count,style_years
Jean-Leon Gerome,1824,1824,Academicism,,1845-1902
Jean-Leon Gerome,1824,1824, Japonism,,
Jean-Leon Gerome,1824,1824, Orientalism,,
Jean-Leon Gerome,1824,1824, Romanticism,,
Jean-Leon Gerome,1824,1824, Symbolism,,
Jean-Leon Gerome,1824,1824, Unknown,,
Vilmos Aba-Novak,1894,1894,Expressionism,21,1921-1941
Jeanne Hébuterne,1898,1898,Expressionism,4,1916-1919
Philip de Laszlo,1869,1869,Impressionism,,1892-1936
Philip de Laszlo,1869,1869, Realism,,
Fabio de Sanctis,1931,1931,Surrealism,16,1958-1968
Pierre Tal-Coat,1905,1905,Art Informel,,1954-1982
Pierre Tal-Coat,1905,1905, Cubism,,
Pierre Tal-Coat,1905,1905, Expressionism,,
Pierre Tal-Coat,1905,1905, Lyrical Abstraction,,
Bertold Löffler,1874,1874,Art Nouveau (Modern),6,1907-1930
John McLaughlin,1942,1942,Abstract Art,,1947-1947
John McLaughlin,1942,1942, Minimalism,,
John McLaughlin,1942,1942, Neoplasticism,,
Arkhyp Kuindzhi,1841,1841,Impressionism,,1874-1908
Arkhyp Kuindzhi,1841,1841, Realism,,
Kees van Dongen,1877,1877,Expressionism,,1895-1937
Kees van Dongen,1877,1877, Fauvism,,
Kees van Dongen,1877,1877, Orientalism,,
Kees van Dongen,1877,1877, Pointillism,,
Kees van Dongen,1877,1877, Post-Impressionism,,
Kees van Dongen,1877,1877, Unknown,,
Angelo de Sousa,1938,1938,Color Field Painting,,1974-2006
Angelo de Sousa,1938,1938, Hard Edge Painting,,
Angelo de Sousa,1938,1938, Minimalism,,
Willem van Genk,1927,1927,Art Brut,,
Willem van Genk,1927,1927, Outsider art,,
Gustave de Smet,1877,1877,Divisionism,,
Gustave de Smet,1877,1877, Expressionism,,
Gustave de Smet,1877,1877, Impressionism,,
Eugene de Blaas,1843,1843,Academicism,82,1850-1932
Eugene de Blaas,1843,1843, Unknown,,
Eugène Burnand,1850,1850,Realism,23,1873-1916
Carsten Holler,1961,1961,Conceptual Art,,
Bram van Velde,1895,1895,Lyrical Abstraction,24,1948-1981
J.M.W. Turner,1775,1775,Impressionism,,
J.M.W. Turner,1775,1775, Romanticism,,
J.M.W. Turner,1775,1775, Unknown,,
Joseph DeCamp,1858,1858,Impressionism,,1886-1923
Joseph DeCamp,1858,1858, Realism,,
Joseph DeCamp,1858,1858, Tonalism,,
John O'Connor,1920,1920,Realism,16,1872-1887
Isaac Israels,1865,1865,Impressionism,,
Isaac Israels,1865,1865, Realism,,
Louise Abbéma,1853,1853,Impressionism,37,1872-1921
Louise Abbéma,1853,1853, Unknown,,
Ha Chong-Hyun,1935,1935,Minimalism,10,1972-2009
Luca di Tommé,1330,1330,Proto Renaissance,,
Teodor Harșia,1914,1914,Expressionism,,1958-1958
Teodor Harșia,1914,1914, Socialist Realism,,
Wen-Ying Tsai,1928,1928,Kinetic Art,,1965-1988
Wen-Ying Tsai,1928,1928, Op Art,,
Erol Akyavaş,1932,1932,Suprematism,,
Erol Akyavaş,1932,1932, Surrealism,,
Erol Akyavaş,1932,1932, Tachisme,,
Lee Quinones,1960,1960,Street art,,
Pushpamala N,1956,1956,Feminist Art,,
Pushpamala N,1956,1956, Postcolonial art,,
Adolf Wölfli,1864,1864,Outsider art,16,1910-1929
Hans am Ende,1864,1864,Impressionism,10,1896-1900
Arthur Nísio,1906,1906,Modernismo,,
Arthur Nísio,1906,1906, Social Realism,,
LeRoy Neiman,1921,1921,Impressionism,,1960-2001
LeRoy Neiman,1921,1921, Pop Art,,
Chu Teh-Chun,1920,1920,Lyrical Abstraction,,1959-2007
Chu Teh-Chun,1920,1920, Tachisme,,
Kmetty János,1889,1889,Cubism,,1910-1969
Kmetty János,1889,1889, Expressionism,,
Kmetty János,1889,1889, Fauvism,,
Kmetty János,1889,1889, Impressionism,,
Kmetty János,1889,1889, Naturalism,,
Kmetty János,1889,1889, Realism,,
Kmetty János,1889,1889, Unknown,,
Josef Capek,1887,1887,Abstract Art,,
Josef Capek,1887,1887, Cubism,,
Josef Capek,1887,1887, Expressionism,,
Ayse Erkmen,1949,1949,Conceptual Art,,
Ayse Erkmen,1949,1949, Neo-Minimalism,,
Ayse Erkmen,1949,1949, Post-Minimalism,,
Park Seo-Bo,1931,1931,Minimalism,18,1968-2007
Carl Holsøe,1863,1863,Expressionism,,1898-1900
Carl Holsøe,1863,1863, Realism,,
Boris Bućan,1947,1947,Expressionism,,1990-1990
Boris Bućan,1947,1947, Op Art,,
Boris Bućan,1947,1947, Pop Art,,
Tony DeLap,1927,1927,Light and Space,,1967-2002
Tony DeLap,1927,1927, Minimalism,,
Tony DeLap,1927,1927, Op Art,,
Zao Wou-Ki,1920,1920,Art Informel,,1949-1994
Zao Wou-Ki,1920,1920, Lyrical Abstraction,,
Léo Schnug,1878,1878,Art Nouveau (Modern),26,1890-1910
Jay DeFeo,1929,1929,Abstract Expressionism,18,1956-1987
SM Sultan,1923,1923,Expressionism,,1952-1986
SM Sultan,1923,1923, Social Realism,,
Marevna (Marie Vorobieff),1892,1892,Cubism,,1917-1970
Marevna (Marie Vorobieff),1892,1892, Expressionism,,
Marevna (Marie Vorobieff),1892,1892, Pointillism,,
Martín Rico y Ortega,1833,1833,Impressionism,,
Martín Rico y Ortega,1833,1833, Romanticism,,
J. C. Leyendecker,1874,1874,Art Nouveau (Modern),,1896-1920
J. C. Leyendecker,1874,1874, Kitsch,,
J. C. Leyendecker,1874,1874, Social Realism,,
J. C. Leyendecker,1874,1874, Unknown,,
Elsa von Freytag-Loringhoven,1874,1874,Dada,9,1917-1926
Zdzislaw Beksinski,1929,1929,Surrealism,707,
Giuseppe Mazzolini,1806,1806,Academicism,,
Luis de Madrazo y Kuntz,1825,1825,Romanticism,14,1848-1880
Guilherme de Santa-Rita,1889,1889,Cubism,,1904-1913
Guilherme de Santa-Rita,1889,1889, Expressionism,,
Guilherme de Santa-Rita,1889,1889, Futurism,,
William Russell Flint,1880,1880,Impressionism,,
William Russell Flint,1880,1880, Romanticism,,
William Russell Flint,1880,1880, Unknown,,
Jean Lecomte du Nouÿ,1842,1842,Academicism,,1866-1888
Jean Lecomte du Nouÿ,1842,1842, Neoclassicism,,
Jean Lecomte du Nouÿ,1842,1842, Orientalism,,
Jean Lecomte du Nouÿ,1842,1842, Romanticism,,
Adolf Hirémy-Hirschl,1860,1860,Academicism,,
Adolf Hirémy-Hirschl,1860,1860, Realism,,
Adolf Hirémy-Hirschl,1860,1860, Symbolism,,
Eduard von Grützner,1846,1846,Romanticism,13,1880-1920
Adam van der Meulen,1632,1632,Baroque,40,1654-1690
Adam van der Meulen,1632,1632, Unknown,,
M. H. Maxy,1895,1895,Constructivism,,1925-1931
M. H. Maxy,1895,1895, Cubism,,
M. H. Maxy,1895,1895, Expressionism,,
M. H. Maxy,1895,1895, Surrealism,,
Vahram Gayfedjian,1879,1879,Abstract Expressionism,,
Vahram Gayfedjian,1879,1879, Post-Impressionism,,
Grégoire Michonze,1902,1902,Expressionism,,1971-1971
Grégoire Michonze,1902,1902, Naïve Art (Primitivism),,
Grégoire Michonze,1902,1902, Post-Impressionism,,
Grégoire Michonze,1902,1902, Surrealism,,
