artist_name,birth_year,birth_year_key,place_name
Constantin Flondor,1936,1936,Chernivtsi
David Bomberg,1890,1890,Birmingham
David Burliuk,1882,1882,Semyrotivschyna
David Kakabadze,1889,1889,Didi-Kukhi
David Smith,1962,1962,Golborne
Dimitris Mytaras,1934,1934,Chalkida
Dusan Dzamonja,1928,1928,Strumica
Eduardo Chillida,1924,1924,San Sebastián
Edward Wadsworth,1889,1889,Cleckheaton
Emilio Pettoruti,1892,1892,La Plata
Enrico Prampolini,1894,1894,Modena
Erik Bulatov,1933,1933,Yekaterinburg
Etienne Hajdu,1907,1907,Romania
Fernand Leger,1881,1881,Argentan
Fernando Lanhas,1923,1923,Porto
Fernando de Szyszlo,1925,1925,Lima
Francis Picabia,1879,1879,Paris
Frantisek Kupka,1871,1871,Opočno
Franz Marc,1880,1880,Munich
Gabriele Munter,1877,1877,Berlin
George Saru,1920,1920,Checea
Georgia O'Keeffe,1887,1887,Sun Prairie
Gerardo Dottori,1884,1884,Perugia
Giacomo Balla,1871,1871,Turin
Gio Pomodoro,1930,1930,Orciano di Pesaro
Gregorio Vardanega,1923,1923,Possagno
Hale Woodruff,1900,1900,Cairo
Hans Richter,1919,1919,Nowawes
Henri Matisse,1869,1869,Le Cateau-Cambrésis
Henry Moore,1898,1898,Castleford
Hilma af Klint,1862,1862,Solna
Hossein Zenderoudi,1937,1937,Iran
Ion Alin Gheorghiu,1929,1929,Unknown
Ion Pacea,1924,1924,Stenimachos
Jacoba van Heemskerck,1876,1876,The Hague
Jacques Villon,1875,1875,Damville
Javad Hamidi,1918,1918,Unknown
Jean Arp,1886,1886,Strasbourg
Jean David,1908,1908,Bucharest
Jean Fautrier,1898,1898,8th arrondissement of Paris
Jean Helion,1904,1904,Couterne
Jean Hugo,1975,1975,Stellenbosch
Joaquim Rodrigo,1912,1912,Lisbon
Joaquin Torres Garcia,1874,1874,Montevideo
Johannes Itten,1888,1888,Thun
John Altoon,1925,1925,Los Angeles
John Ferren,1905,1905,Pendleton
John Marin,1870,1870,Rutherford
Jorge Martins,1954,1954,Alhos Vedros
Josef Albers,1888,1888,Bottrop
Josef Sima,1891,1891,Jaroměř
Julius Evola,1898,1898,Rome
Karlo Zvirynsky,1923,1923,Lavriv
Lajos Kassak,1887,1887,Nové Zámky
Lawren Harris,1885,1885,Brantford
Lee Krasner,1908,1908,Brooklyn
Lino Tagliapietra,1934,1934,Unknown
Lois Mailou Jones,1905,1905,Boston
Louis Schanker,1903,1903,New York City
Lyubov Popova,1925,1925,Minusinsk
Man Ray,1890,1890,Philadelphia
Marcel Janco,1895,1895,Bucharest
Mark Rothko,1903,1903,Daugavpils
Marsden Hartley,1877,1877,Lewiston
Martha Boto,1925,1925,Buenos Aires
Mathias Goeritz,1915,1915,Gdańsk
Michel Seuphor,1901,1901,Antwerp
Milton Avery,1885,1885,Altmar
Mordecai Ardon,1896,1896,Tuchów
Natalia Goncharova,1881,1881,Arkhangelskoe
Ossip Zadkine,1888,1888,Vitebsk
Otto Freundlich,1878,1878,Słupsk
Paul Klee,1879,1879,Münchenbuchsee
Paul Nash,1889,1889,Kensington
Perle Fine,1905,1905,Boston
Pierre Daura,1896,1896,Ciutadella de Menorca
Princess Fahrelnissa Zeid,1901,1901,Turkey
Requena Nozal,1947,1947,Zaragoza
Rochelle Blumenfeld,1936,1936,Pittsburgh
Roger Weik,1949,1949,Chicago
Roman Selsky,1903,1903,Sokal
Roy Lichtenstein,1923,1923,Manhattan
Rudolf Bauer,1889,1889,Wąwelno
S. H. Raza,1922,1922,Mandla district
Salvador Dali,1904,1904,Figueres
Serge Charchoune,1888,1888,Buguruslan
Sonia Delaunay,1885,1885,Hradyzk
Sophie Taeuber-Arp,1889,1889,Davos
Stanisław Ignacy Witkiewicz,1885,1885,Warsaw
Stig Brøgger,1941,1941,Slagelse
Theo van Doesburg,1883,1883,Utrecht
Theodore Roszak,1907,1907,Poznań
Tiberiy Szilvashi,1947,1947,Mukachevo
Tihamer Gyarmathy,1915,1915,Pécs
Toyen,1902,1902,Smíchov
Valentin Khrushch,1943,1943,Odesa
Vanessa Bell,1879,1879,London
Vera Nedkova,1906,1906,Skopje
Victor Hugo,1802,1802,Besançon
Victor Pasmore,1908,1908,Chelsham
Victor Servranckx,1897,1897,Diegem
Victor Vasarely,1906,1906,Pécs
Vladimir Tatlin,1885,1885,Kharkiv
Walter Battiss,1906,1906,Somerset East
Wassily Kandinsky,1866,1866,Moscow
Willi Baumeister,1889,1889,Stuttgart
