artist1_name,birth_year1,birth_year1_key,artist2_name,relationship_type
Paul Émile Chabas,1869,1869,William-Adolphe Bouguereau,Pupil
Jean-Leon Gerome,1824,1824,Fernand Leger,Teacher
Jean-Leon Gerome,1824,1824,Eugeniusz Zak,Teacher
Jean-Leon Gerome,1824,1824,Aristide Maillol,Teacher
Jean-Leon Gerome,1824,1824,Eugène Burnand,Teacher
Jean-Leon Gerome,1824,1824,Jean Lecomte du Nouÿ,Teacher
Jean-Leon Gerome,1824,1824,Charles Gleyre,Pupil
Jean-Leon Gerome,1824,1824,Jean Lecomte du Nouÿ,Influenced On
Jean-Leon Gerome,1824,1824,Abbott Handerson Thayer,Friend
Kees van Dongen,1877,1877,Dana Schutz,Influenced On
Eugène Burnand,1850,1850,Jean-Leon Gerome,Pupil
Eugène Burnand,1850,1850,Jean-Francois Millet,Influenced By
Eugène Burnand,1850,1850,Gustave Courbet,Influenced By
Louise Abbéma,1853,1853,Edouard Manet,Influenced By
Léo Schnug,1878,1878,Nikolaos Gyzis,Pupil
Léo Schnug,1878,1878,Nikolaos Gyzis,Influenced On
Petro Kholodny (Elder),,-999999,Mykola Murashko,Influenced By
Petro Kholodny (Elder),,-999999,Mykola Murashko,Friend
J. C. Leyendecker,1874,1874,Henri de Toulouse-Lautrec,Influenced By
J. C. Leyendecker,1874,1874,Alphonse Mucha,Influenced By
J. C. Leyendecker,1874,1874,Norman Rockwell,Influenced On
Jean Lecomte du Nouÿ,1842,1842,Charles Gleyre,Pupil
Jean Lecomte du Nouÿ,1842,1842,Jean-Leon Gerome,Pupil
Jean Lecomte du Nouÿ,1842,1842,Charles Gleyre,Influenced By
Jean Lecomte du Nouÿ,1842,1842,Jean-Leon Gerome,Influenced By
José Luzán,1710,1710,Francisco Bayeu y Subias,Teacher
José Luzán,1710,1710,Francisco Goya,Teacher
Ad Reinhardt,1913,1913,Piet Mondrian,Influenced By
Ad Reinhardt,1913,1913,Kazimir Malevich,Influenced By
Ad Reinhardt,1913,1913,Josef Albers,Influenced By
Ad Reinhardt,1913,1913,Donald Judd,Influenced On
Ad Reinhardt,1913,1913,Barnett Newman,Influenced On
Ad Reinhardt,1913,1913,Mark Rothko,Influenced On
Ad Reinhardt,1913,1913,Frank Stella,Influenced On
Ad Reinhardt,1913,1913,Jackson Pollock,Friend
Alexej von Jawlensky,1864,1864,Wassily Kandinsky,Friend
Alla Horska,1929,1929,Sergiy Grigoriev,Pupil
Alla Horska,1929,1929,Mykhailo Boychuk,Influenced By
Anthony Caro,1924,1924,Tim Scott,Teacher
Anthony Caro,1924,1924,William Tucker,Teacher
Anthony Caro,1924,1924,Richard Deacon,Teacher
Anthony Caro,1924,1924,David Smith,Influenced By
Anthony Caro,1924,1924,Henry Moore,Friend
Arthur Dove,1880,1880,Georgia O'Keeffe,Friend
Arthur Dove,1880,1880,Charles Demuth,Friend
