artist1_name,birth_year1,birth_year1_key,artist2_name,relationship_type
Pablo Picasso,1881,1881,El Greco,Influenced By
Pablo Picasso,1881,1881,Francisco Goya,Influenced By
Pablo Picasso,1881,1881,Paul Gauguin,Influenced By
Pablo Picasso,1881,1881,Paul Cezanne,Influenced By
Pablo Picasso,1881,1881,Henri Matisse,Influenced By
Pablo Picasso,1881,1881,Auguste Rodin,Influenced By
Pablo Picasso,1881,1881,Nicolas Poussin,Influenced By
Pablo Picasso,1881,1881,Pierre-Auguste Renoir,Influenced By
Pablo Picasso,1881,1881,Marc Chagall,Influenced On
Pablo Picasso,1881,1881,Amedeo Modigliani,Influenced On
Pablo Picasso,1881,1881,Willem de Kooning,Influenced On
Pablo Picasso,1881,1881,Jasper Johns,Influenced On
Pablo Picasso,1881,1881,Arshile Gorky,Influenced On
Pablo Picasso,1881,1881,Lee Krasner,Influenced On
Pablo Picasso,1881,1881,Jackson Pollock,Influenced On
Pablo Picasso,1881,1881,Robert Delaunay,Influenced On
Pablo Picasso,1881,1881,Piet Mondrian,Influenced On
Pablo Picasso,1881,1881,Karel Appel,Influenced On
Pablo Picasso,1881,1881,Balcomb Greene,Influenced On
Pablo Picasso,1881,1881,Francis Bacon,Influenced On
Pablo Picasso,1881,1881,David Alfaro Siqueiros,Influenced On
Pablo Picasso,1881,1881,Salvador Dali,Influenced On
Pablo Picasso,1881,1881,Tamara de Lempicka,Influenced On
Pablo Picasso,1881,1881,Vilhelm Lundstrom,Influenced On
Pablo Picasso,1881,1881,Georges Braque,Friend
Pablo Picasso,1881,1881,Man Ray,Friend
Pablo Picasso,1881,1881,Max Jacob,Friend
Pablo Picasso,1881,1881,Amedeo Modigliani,Friend
Pablo Picasso,1881,1881,Christopher Wood,Friend
Pablo Picasso,1881,1881,Mykhailo Boychuk,Friend
Ilya Kabakov,1933,1933,Robert Falk,Influenced By
Ilya Kabakov,1933,1933,Erik Bulatov,Friend
John Baldessari,1931,1931,David Hammons,Influenced On
Joseph Beuys,1921,1921,Blinky Palermo,Teacher
Joseph Beuys,1921,1921,Sigmar Polke,Teacher
Joseph Beuys,1921,1921,Odd Nerdrum,Teacher
Joseph Beuys,1921,1921,Yoko Ono,Influenced By
Joseph Beuys,1921,1921,Sigmar Polke,Influenced By
Joseph Beuys,1921,1921,Robert Smithson,Influenced By
Joseph Beuys,1921,1921,Rosemarie Trockel,Influenced By
Joseph Beuys,1921,1921,Yoko Ono,Influenced On
Joseph Beuys,1921,1921,Sigmar Polke,Influenced On
Joseph Beuys,1921,1921,Robert Smithson,Influenced On
Joseph Beuys,1921,1921,Rosemarie Trockel,Influenced On
Joseph Beuys,1921,1921,Nam June Paik,Friend
Joseph Beuys,1921,1921,Georg Baselitz,Friend
Joseph Beuys,1921,1921,Gerhard Richter,Friend
Marcel Duchamp,1887,1887,Paris,Pupil
Marcel Duchamp,1887,1887,Andy Warhol,Influenced By
Marcel Duchamp,1887,1887,Hiroshi Sugimoto,Influenced By
Marcel Duchamp,1887,1887,Damien Hirst,Influenced By
Marcel Duchamp,1887,1887,Andy Warhol,Influenced On
Marcel Duchamp,1887,1887,Hiroshi Sugimoto,Influenced On
Marcel Duchamp,1887,1887,Damien Hirst,Influenced On
Marcel Duchamp,1887,1887,Florine Stettheimer,Friend
Marcel Duchamp,1887,1887,Man Ray,Friend
Robert Morris,1734,1734,Alice Aycock,Teacher
Robert Morris,1734,1734,Christian Eckart,Teacher
Robert Morris,1734,1734,Jackson Pollock,Influenced By
Sigmar Polke,1941,1941,Joseph Beuys,Pupil
Sigmar Polke,1941,1941,Karl Otto Gotz,Pupil
Sigmar Polke,1941,1941,Joseph Beuys,Influenced By
Sigmar Polke,1941,1941,David Salle,Influenced On
Sigmar Polke,1941,1941,Wolfgang Tillmans,Influenced On
Sigmar Polke,1941,1941,Gerhard Richter,Friend
Vito Acconci,1940,1940,Dennis Oppenheim,Friend
Yoko Ono,1933,1933,Joseph Beuys,Influenced By
Dieter Roth,1930,1930,Paul Klee,Influenced By
Dieter Roth,1930,1930,Richard Hamilton,Friend
Anatol Petrytsky,1895,1895,Ivan-Valentyn Zadorozhny,Teacher
Anatol Petrytsky,1895,1895,Oleksandr Murashko,Pupil
Anatol Petrytsky,1895,1895,Vadym Meller,Friend
Anatol Petrytsky,1895,1895,Victor Palmov,Friend
Edgar Negret,1920,1920,Jean Arp,Influenced By
El Lissitzky,1890,1890,Kazimir Malevich,Pupil
El Lissitzky,1890,1890,Marc Chagall,Influenced By
El Lissitzky,1890,1890,Vasyl Yermylov,Friend
El Lissitzky,1890,1890,Vadym Meller,Friend
Le Corbusier,1887,1887,John Ruskin,Influenced By
Le Corbusier,1887,1887,Fernand Leger,Friend
Margit Selska,1900,1900,Fernand Leger,Pupil
Margit Selska,1900,1900,Sonia Delaunay,Friend
Margit Selska,1900,1900,Robert Delaunay,Friend
Margit Selska,1900,1900,Aleksandra Ekster,Friend
Margit Selska,1900,1900,Piet Mondrian,Friend
Vadym Meller,1884,1884,Paul Klee,Friend
Vadym Meller,1884,1884,Wassily Kandinsky,Friend
Vadym Meller,1884,1884,Kazimir Malevich,Friend
Vadym Meller,1884,1884,Sonia Delaunay,Friend
Vadym Meller,1884,1884,Olexandr Archipenko,Friend
Vadym Meller,1884,1884,Aleksandra Ekster,Friend
Vadym Meller,1884,1884,Vladimir Tatlin,Friend
Vadym Meller,1884,1884,Oleksandr Bogomazov,Friend
Vadym Meller,1884,1884,Victor Palmov,Friend
Vadym Meller,1884,1884,Alexander Khvostenko-Khvostov,Friend
Vadym Meller,1884,1884,David Burliuk,Friend
Vadym Meller,1884,1884,Vasyl Yermylov,Friend
Vadym Meller,1884,1884,El Lissitzky,Friend
Vadym Meller,1884,1884,Anatol Petrytsky,Friend
Vasyl Yermylov,1894,1894,Ilya Mashkov,Pupil
Vasyl Yermylov,1894,1894,Pyotr Konchalovsky,Pupil
Vasyl Yermylov,1894,1894,David Burliuk,Friend
Vasyl Yermylov,1894,1894,Victor Palmov,Friend
Vasyl Yermylov,1894,1894,Oleksandr Bogomazov,Friend
Vasyl Yermylov,1894,1894,El Lissitzky,Friend
Vasyl Yermylov,1894,1894,Mykhailo Boychuk,Friend
Vasyl Yermylov,1894,1894,Vadym Meller,Friend
Victor Brauner,1903,1903,Vlady,Teacher
Victor Brauner,1903,1903,Vlady,Influenced By
Victor Brauner,1903,1903,Pedro Coronel,Friend
Eric Fischl,1948,1948,Lucian Freud,Influenced By
Ian Bent,1938,1938,Jeffrey Smart,Friend
Jeffrey Smart,1921,1921,Dorrit Black,Friend
Jeffrey Smart,1921,1921,Jacqueline Hick,Friend
Jeffrey Smart,1921,1921,Ian Bent,Friend
Jeffrey Smart,1921,1921,Horace Trenerry,Friend
Lucian Freud,1922,1922,Gustave Courbet,Influenced By
Lucian Freud,1922,1922,Otto Dix,Influenced By
Lucian Freud,1922,1922,Alberto Giacometti,Influenced By
Lucian Freud,1922,1922,George Grosz,Influenced By
Lucian Freud,1922,1922,Francis Bacon,Influenced By
Lucian Freud,1922,1922,Eric Fischl,Influenced On
Lucian Freud,1922,1922,Damien Hirst,Influenced On
Lucian Freud,1922,1922,John Currin,Influenced On
Lucian Freud,1922,1922,Jenny Saville,Influenced On
Lucian Freud,1922,1922,Francis Bacon,Friend
Odd Nerdrum,1944,1944,Joseph Beuys,Pupil
Odd Nerdrum,1944,1944,Rembrandt,Influenced By
Odd Nerdrum,1944,1944,Caravaggio,Influenced By
Philip Pearlstein,1924,1924,Andy Warhol,Friend
Alice Bailly,1872,1872,Juan Gris,Friend
Alice Bailly,1872,1872,Francis Picabia,Friend
Alice Bailly,1872,1872,Albert Gleizes,Friend
Alice Bailly,1872,1872,Jean Metzinger,Friend
Alice Bailly,1872,1872,Fernand Leger,Friend
Andre Derain,1880,1880,Mikhail Larionov,Influenced On
Andre Derain,1880,1880,Emily Carr,Influenced On
Andre Derain,1880,1880,Amedeo Modigliani,Friend
Aristarkh Lentulov,1882,1882,Robert Delaunay,Influenced By
Aristarkh Lentulov,1882,1882,Wassily Kandinsky,Influenced On
Aristarkh Lentulov,1882,1882,Kazimir Malevich,Influenced On
Carlo Carra,1881,1881,Giorgio de Chirico,Influenced By
Carlo Carra,1881,1881,Giorgio Morandi,Influenced On
Dorrit Black,1891,1891,Julian Ashton,Pupil
Dorrit Black,1891,1891,André Lhote,Pupil
Dorrit Black,1891,1891,Albert Gleizes,Pupil
Dorrit Black,1891,1891,Jacqueline Hick,Influenced On
Dorrit Black,1891,1891,Jeffrey Smart,Friend
Ernst Ludwig Kirchner,1880,1880,Edvard Munch,Influenced By
George Grosz,1893,1893,Lucian Freud,Influenced On
George Grosz,1893,1893,Otto Dix,Friend
Giacomo Manzu,1908,1908,Donatello,Influenced By
Gino Severini,1883,1883,Mario Sironi,Friend
Gino Severini,1883,1883,Amedeo Modigliani,Friend
Giorgio Morandi,1890,1890,Paul Cezanne,Influenced By
Giorgio Morandi,1890,1890,Giorgio de Chirico,Influenced By
Giorgio Morandi,1890,1890,Carlo Carra,Influenced By
Giorgio Morandi,1890,1890,Paolo Uccello,Influenced By
Giorgio Morandi,1890,1890,Caravaggio,Influenced By
Harry Phelan Gibb,1870,1870,Emily Carr,Teacher
Harry Phelan Gibb,1870,1870,Jean-Paul Laurens,Pupil
Harry Phelan Gibb,1870,1870,Paul Cezanne,Influenced By
Henri Le Fauconnier,1881,1881,Marc Chagall,Teacher
Jacob Epstein,1880,1880,Henry Moore,Influenced On
Jacob Epstein,1880,1880,Amedeo Modigliani,Friend
Jacob Epstein,1880,1880,Eric Gill,Friend
Jacques Lipchitz,1891,1891,Auguste Rodin,Influenced By
Jacques Lipchitz,1891,1891,Amedeo Modigliani,Friend
Jules Pascin,1885,1885,Moise Kisling,Friend
Mario Sironi,1885,1885,Giacomo Balla,Pupil
Mario Sironi,1885,1885,Gino Severini,Friend
Mario Sironi,1885,1885,Umberto Boccioni,Friend
Maurice de Vlaminck,1876,1876,Guan Zilan,Influenced On
Max Beckmann,1884,1884,Edvard Munch,Influenced By
Max Beckmann,1884,1884,Henri Rousseau,Influenced By
Max Beckmann,1884,1884,Ivan Eyre,Influenced On
Max Ernst,1891,1891,Arnold Böcklin,Influenced By
Max Ernst,1891,1891,Salvador Dali,Influenced By
Max Ernst,1891,1891,Karl Otto Gotz,Influenced On
Max Ernst,1891,1891,Salvador Dali,Influenced On
Max Ernst,1891,1891,Yves Tanguy,Friend
Max Jacob,1876,1876,Pablo Picasso,Friend
Max Jacob,1876,1876,Georges Braque,Friend
Max Jacob,1876,1876,Christopher Wood,Friend
Max Jacob,1876,1876,Amedeo Modigliani,Friend
Mikhail Larionov,1881,1881,Isaac Levitan,Pupil
Mikhail Larionov,1881,1881,Valentin Serov,Pupil
Mikhail Larionov,1881,1881,Henri Matisse,Influenced By
Mikhail Larionov,1881,1881,Andre Derain,Influenced By
Mikhail Larionov,1881,1881,Georges Braque,Influenced By
Mikhail Larionov,1881,1881,Paul Gauguin,Influenced By
Mikhail Larionov,1881,1881,Vincent van Gogh,Influenced By
Mikhail Larionov,1881,1881,Niko Pirosmani,Influenced By
Mikhail Larionov,1881,1881,Billy Childish,Influenced On
Mikhail Larionov,1881,1881,Vsevolod Maksymovych,Friend
Olexandr Archipenko,1887,1887,Auguste Rodin,Influenced By
Olexandr Archipenko,1887,1887,Florine Stettheimer,Friend
Olexandr Archipenko,1887,1887,Oleksandr Bogomazov,Friend
Olexandr Archipenko,1887,1887,Vadym Meller,Friend
Olga Rozanova,1886,1886,Kazimir Malevich,Friend
Paul Cezanne,1839,1839,Gustave Courbet,Influenced By
Paul Cezanne,1839,1839,El Greco,Influenced By
Paul Cezanne,1839,1839,Charles-Francois Daubigny,Influenced By
Paul Cezanne,1839,1839,Nicolas Poussin,Influenced By
Paul Cezanne,1839,1839,Pierre-Auguste Renoir,Influenced By
Paul Cezanne,1839,1839,Pablo Picasso,Influenced On
Paul Cezanne,1839,1839,Amedeo Modigliani,Influenced On
Paul Cezanne,1839,1839,Jackson Pollock,Influenced On
Paul Cezanne,1839,1839,Fernand Leger,Influenced On
Paul Cezanne,1839,1839,Chaim Soutine,Influenced On
Paul Cezanne,1839,1839,Piet Mondrian,Influenced On
Paul Cezanne,1839,1839,Francis Bacon,Influenced On
Paul Cezanne,1839,1839,Man Ray,Influenced On
Paul Cezanne,1839,1839,Vilhelm Lundstrom,Influenced On
Paul Cezanne,1839,1839,Paul Gauguin,Influenced On
Paul Cezanne,1839,1839,Wassily Kandinsky,Influenced On
Paul Cezanne,1839,1839,Roman Selsky,Influenced On
Paul Cezanne,1839,1839,Adalbert Erdeli,Influenced On
Paul Cezanne,1839,1839,Michel Kikoine,Influenced On
Paul Cezanne,1839,1839,Giorgio Morandi,Influenced On
Paul Cezanne,1839,1839,Józef Pankiewicz,Influenced On
Paul Cezanne,1839,1839,Robert Falk,Influenced On
Paul Cezanne,1839,1839,Harry Phelan Gibb,Influenced On
Paul Cezanne,1839,1839,Marjorie Acker Phillips,Influenced On
Paul Cezanne,1839,1839,Paul Gauguin,Friend
Piet Mondrian,1872,1872,Vincent van Gogh,Influenced By
Piet Mondrian,1872,1872,Paul Cezanne,Influenced By
Piet Mondrian,1872,1872,Pablo Picasso,Influenced By
Piet Mondrian,1872,1872,Jacob van Ruisdael,Influenced By
Piet Mondrian,1872,1872,Josef Albers,Influenced On
Piet Mondrian,1872,1872,Ad Reinhardt,Influenced On
Piet Mondrian,1872,1872,Lee Krasner,Influenced On
Piet Mondrian,1872,1872,Ilya Bolotowsky,Influenced On
Piet Mondrian,1872,1872,Balcomb Greene,Influenced On
Piet Mondrian,1872,1872,Marc Chagall,Friend
Piet Mondrian,1872,1872,Fernand Leger,Friend
Piet Mondrian,1872,1872,Jan Toorop,Friend
Piet Mondrian,1872,1872,Theo van Doesburg,Friend
Piet Mondrian,1872,1872,Roman Selsky,Friend
Piet Mondrian,1872,1872,Margit Selska,Friend
Rafael Zabaleta,1907,1907,Roberto Montenegro,Influenced On
Raoul Dufy,1877,1877,Carlos Nadal,Influenced On
Robert Falk,1886,1886,Konstantin Yuon,Pupil
Robert Falk,1886,1886,Ilya Mashkov,Pupil
Robert Falk,1886,1886,Valentin Serov,Influenced By
Robert Falk,1886,1886,Konstantin Korovin,Influenced By
Robert Falk,1886,1886,Paul Cezanne,Influenced By
Robert Falk,1886,1886,Ilya Kabakov,Influenced On
Robert Falk,1886,1886,Erik Bulatov,Influenced On
Rufino Tamayo,1899,1899,Helen Frankenthaler,Teacher
Rufino Tamayo,1899,1899,Pedro Coronel,Influenced On
Tarsila do Amaral,1886,1886,Fernand Leger,Pupil
Tarsila do Amaral,1886,1886,Fernand Leger,Influenced On
Umberto Boccioni,1882,1882,David Alfaro Siqueiros,Influenced By
Umberto Boccioni,1882,1882,David Alfaro Siqueiros,Influenced On
Umberto Boccioni,1882,1882,Mario Sironi,Friend
Vasyl Sedlyar,1899,1899,Mykhailo Boychuk,Pupil
Vilhelm Lundstrom,1893,1893,Georges Braque,Influenced By
Vilhelm Lundstrom,1893,1893,Pablo Picasso,Influenced By
Vilhelm Lundstrom,1893,1893,Paul Cezanne,Influenced By
Kurt Schwitters,1887,1887,Jessica Stockholder,Influenced On
Kurt Schwitters,1887,1887,Fernando García Ponce,Influenced On
Giovanni Segantini,1858,1858,Anton Mauve,Influenced By
Giovanni Segantini,1858,1858,Jean-Francois Millet,Influenced By
Andrea Mantegna,1431,1431,Rembrandt,Influenced By
Andrea Mantegna,1431,1431,Albrecht Durer,Influenced On
Andrea Mantegna,1431,1431,Hans Holbein the Younger,Influenced On
Andrea del Verrocchio,1435,1435,Leonardo da Vinci,Teacher
Antonello da Messina,1430,1430,Rogier van der Weyden,Influenced By
Antonello da Messina,1430,1430,Jan van Eyck,Influenced By
Antonello da Messina,1430,1430,Piero della Francesca,Influenced By
Antonello da Messina,1430,1430,Giovanni Bellini,Influenced By
Antonello da Messina,1430,1430,Bartolomeo Veneto,Influenced On
Benozzo Gozzoli,1420,1420,Fra Angelico,Pupil
Domenico Ghirlandaio,1448,1448,Michelangelo,Teacher
Domenico Ghirlandaio,1448,1448,Hugo van der Goes,Influenced By
Domenico Ghirlandaio,1448,1448,Leonardo da Vinci,Friend
Domenico Ghirlandaio,1448,1448,Sandro Botticelli,Friend
Donatello,1386,1386,Lorenzo Ghiberti,Pupil
Donatello,1386,1386,Giacomo Manzu,Influenced By
Donatello,1386,1386,Auguste Rodin,Influenced By
Donatello,1386,1386,Giacomo Manzu,Influenced On
Donatello,1386,1386,Auguste Rodin,Influenced On
Filippo Lippi,1406,1406,Sandro Botticelli,Teacher
Filippo Lippi,1406,1406,Leonardo da Vinci,Influenced On
Fra Angelico,1390,1390,Benozzo Gozzoli,Teacher
Giovanni Bellini,1430,1430,Giorgione,Teacher
Giovanni Bellini,1430,1430,Titian,Teacher
Giovanni Bellini,1430,1430,Antonello da Messina,Influenced On
Giovanni Bellini,1430,1430,Bartolomeo Veneto,Influenced On
Giovanni Bellini,1430,1430,Mikhail Vrubel,Influenced On
Giovanni Bellini,1430,1430,Albrecht Durer,Friend
Leonardo da Vinci,1452,1452,Giovanni Antonio Boltraffio,Teacher
Leonardo da Vinci,1452,1452,Andrea del Verrocchio,Pupil
Leonardo da Vinci,1452,1452,Piero della Francesca,Influenced By
Leonardo da Vinci,1452,1452,Masaccio,Influenced By
Leonardo da Vinci,1452,1452,Filippo Lippi,Influenced By
Leonardo da Vinci,1452,1452,Hugo van der Goes,Influenced By
Leonardo da Vinci,1452,1452,Bartolomeo Veneto,Influenced On
Leonardo da Vinci,1452,1452,Mariotto Albertinelli,Influenced On
Leonardo da Vinci,1452,1452,Albrecht Durer,Friend
Leonardo da Vinci,1452,1452,Sandro Botticelli,Friend
Leonardo da Vinci,1452,1452,Domenico Ghirlandaio,Friend
Leonardo da Vinci,1452,1452,Pietro Perugino,Friend
Lorenzo Monaco,1370,1370,Giotto,Influenced By
Lorenzo Monaco,1370,1370,Lorenzo Ghiberti,Influenced By
Luca Signorelli,1450,1450,Raphael,Influenced On
Luca Signorelli,1450,1450,Il Sodoma,Friend
Masaccio,1401,1401,Leonardo da Vinci,Influenced On
Masaccio,1401,1401,Michelangelo,Influenced On
Masaccio,1401,1401,Sandro Botticelli,Influenced On
Paolo Uccello,1397,1397,Lorenzo Ghiberti,Pupil
Paolo Uccello,1397,1397,Raphael,Influenced On
Paolo Uccello,1397,1397,Giorgio Morandi,Influenced On
Piero della Francesca,1415,1415,Antonello da Messina,Influenced On
Piero della Francesca,1415,1415,Leonardo da Vinci,Influenced On
Pietro Perugino,1448,1448,Raphael,Teacher
Pietro Perugino,1448,1448,Mariotto Albertinelli,Influenced By
Pietro Perugino,1448,1448,Mariotto Albertinelli,Influenced On
Pietro Perugino,1448,1448,Leonardo da Vinci,Friend
Pietro Perugino,1448,1448,Sandro Botticelli,Friend
Sandro Botticelli,1445,1445,Filippo Lippi,Pupil
Sandro Botticelli,1445,1445,Masaccio,Influenced By
Sandro Botticelli,1445,1445,Walter Crane,Influenced On
Sandro Botticelli,1445,1445,Leonardo da Vinci,Friend
Sandro Botticelli,1445,1445,Pietro Perugino,Friend
Sandro Botticelli,1445,1445,Domenico Ghirlandaio,Friend
Alice Aycock,1946,1946,Robert Morris,Pupil
George Segal,1934,1934,Edward Hopper,Influenced By
George Segal,1934,1934,Allan Kaprow,Friend
Robert Smithson,1938,1938,Joseph Beuys,Influenced By
Alberto Giacometti,1901,1901,Cy Twombly,Influenced On
Alberto Giacometti,1901,1901,Lucian Freud,Influenced On
Amedeo Modigliani,1884,1884,Pablo Picasso,Influenced By
Amedeo Modigliani,1884,1884,Paul Cezanne,Influenced By
Amedeo Modigliani,1884,1884,Henri de Toulouse-Lautrec,Influenced By
Amedeo Modigliani,1884,1884,Frida Kahlo,Influenced On
Amedeo Modigliani,1884,1884,Henry Moore,Influenced On
Amedeo Modigliani,1884,1884,Diego Rivera,Friend
Amedeo Modigliani,1884,1884,Chaim Soutine,Friend
Amedeo Modigliani,1884,1884,Moise Kisling,Friend
Amedeo Modigliani,1884,1884,Jacques Lipchitz,Friend
Amedeo Modigliani,1884,1884,Max Jacob,Friend
Amedeo Modigliani,1884,1884,Pablo Picasso,Friend
Amedeo Modigliani,1884,1884,Jacob Epstein,Friend
Amedeo Modigliani,1884,1884,Juan Gris,Friend
Amedeo Modigliani,1884,1884,Gino Severini,Friend
Amedeo Modigliani,1884,1884,Maurice Utrillo,Friend
Amedeo Modigliani,1884,1884,Marevna (Marie Vorobieff),Friend
Amedeo Modigliani,1884,1884,Tsuguharu Foujita,Friend
Amedeo Modigliani,1884,1884,Pierre-Auguste Renoir,Friend
Amedeo Modigliani,1884,1884,Giorgio de Chirico,Friend
Amedeo Modigliani,1884,1884,Andre Derain,Friend
August Macke,1887,1887,Robert Delaunay,Influenced By
August Macke,1887,1887,Franz Marc,Friend
August Macke,1887,1887,Paul Klee,Friend
Balthus,1908,1908,L. S. Lowry,Influenced On
Chaim Soutine,1893,1893,Rembrandt,Influenced By
Chaim Soutine,1893,1893,Francisco Goya,Influenced By
Chaim Soutine,1893,1893,Gustave Courbet,Influenced By
Chaim Soutine,1893,1893,Henri Matisse,Influenced By
Chaim Soutine,1893,1893,Paul Cezanne,Influenced By
Chaim Soutine,1893,1893,Marc Chagall,Influenced On
Chaim Soutine,1893,1893,Jean Dubuffet,Influenced On
Chaim Soutine,1893,1893,Jackson Pollock,Influenced On
Chaim Soutine,1893,1893,Willem de Kooning,Influenced On
Chaim Soutine,1893,1893,Francis Bacon,Influenced On
Chaim Soutine,1893,1893,Michel Kikoine,Influenced On
Chaim Soutine,1893,1893,Amedeo Modigliani,Friend
Chaim Soutine,1893,1893,Michel Kikoine,Friend
Chaim Soutine,1893,1893,Pinchus Kremegne,Friend
Charles Demuth,1883,1883,Stuart Davis,Influenced On
Charles Demuth,1883,1883,Ralston Crawford,Influenced On
Charles Demuth,1883,1883,Charles Sheeler,Influenced On
Charles Demuth,1883,1883,George Ault,Friend
Charles Demuth,1883,1883,Georgia O'Keeffe,Friend
Charles Demuth,1883,1883,Arthur Dove,Friend
Charles Maurin,1856,1856,Henri de Toulouse-Lautrec,Teacher
Charles Maurin,1856,1856,Felix Vallotton,Teacher
Charles Maurin,1856,1856,Jules Joseph Lefebvre,Pupil
Edvard Munch,1863,1863,Leon Bonnat,Pupil
Edvard Munch,1863,1863,Paul Gauguin,Influenced By
Edvard Munch,1863,1863,Vincent van Gogh,Influenced By
Edvard Munch,1863,1863,Henri de Toulouse-Lautrec,Influenced By
Edvard Munch,1863,1863,Georges Seurat,Influenced By
Edvard Munch,1863,1863,Caspar David Friedrich,Influenced By
Edvard Munch,1863,1863,Egon Schiele,Influenced On
Edvard Munch,1863,1863,Wassily Kandinsky,Influenced On
Edvard Munch,1863,1863,Ernst Ludwig Kirchner,Influenced On
Edvard Munch,1863,1863,Max Beckmann,Influenced On
Edvard Munch,1863,1863,Paul Klee,Influenced On
Edvard Munch,1863,1863,Henri Matisse,Influenced On
Edvard Munch,1863,1863,Franz Marc,Friend
Paul Delaroche,1797,1797,Jean-Francois Millet,Friend
Wojciech Weiss,1875,1875,Jan Matejko,Influenced By
Franz Kline,1910,1910,Jackson Pollock,Influenced By
Franz Kline,1910,1910,Cy Twombly,Influenced On
Rockwell Kent,1882,1882,Robert Henri,Pupil
Rockwell Kent,1882,1882,William Merritt Chase,Pupil
Rockwell Kent,1882,1882,Edward Hopper,Friend
Rockwell Kent,1882,1882,George Bellows,Friend
Stuart Davis,1892,1892,Charles Demuth,Influenced By
Albert Gleizes,1881,1881,Dorrit Black,Teacher
Albert Gleizes,1881,1881,Marc Chagall,Influenced On
Albert Gleizes,1881,1881,Alice Bailly,Friend
Georges Braque,1882,1882,Nicolas Poussin,Influenced By
Georges Braque,1882,1882,David Alfaro Siqueiros,Influenced On
Georges Braque,1882,1882,Vilhelm Lundstrom,Influenced On
Georges Braque,1882,1882,Mikhail Larionov,Influenced On
Georges Braque,1882,1882,Carlos Nadal,Influenced On
Georges Braque,1882,1882,Pablo Picasso,Friend
Georges Braque,1882,1882,Max Jacob,Friend
Florine Stettheimer,1871,1871,Olexandr Archipenko,Friend
Florine Stettheimer,1871,1871,Marcel Duchamp,Friend
Jacqueline Hick,1919,1919,Dorrit Black,Influenced By
Jacqueline Hick,1919,1919,Jeffrey Smart,Friend
Jean Cocteau,1889,1889,Christopher Wood,Friend
Jose Clemente Orozco,1883,1883,Francisco Goya,Influenced By
Jose Clemente Orozco,1883,1883,El Greco,Influenced By
Jose Clemente Orozco,1883,1883,Giotto,Influenced By
Jose Clemente Orozco,1883,1883,Michelangelo,Influenced By
Jose Clemente Orozco,1883,1883,Jackson Pollock,Influenced On
Jose Clemente Orozco,1883,1883,Philip Guston,Influenced On
Jose Clemente Orozco,1883,1883,Frida Kahlo,Influenced On
Jose Clemente Orozco,1883,1883,Vlady,Influenced On
Jose Clemente Orozco,1883,1883,Diego Rivera,Friend
Jose Clemente Orozco,1883,1883,David Alfaro Siqueiros,Friend
Max Pechstein,1881,1881,Vincent van Gogh,Influenced By
Max Pechstein,1881,1881,Henri Matisse,Influenced By
Michel Kikoine,1892,1892,Chaim Soutine,Influenced By
Michel Kikoine,1892,1892,Paul Cezanne,Influenced By
Michel Kikoine,1892,1892,Pierre Bonnard,Influenced By
Michel Kikoine,1892,1892,Chaim Soutine,Friend
Michel Kikoine,1892,1892,Pinchus Kremegne,Friend
Moise Kisling,1891,1891,Józef Pankiewicz,Pupil
Moise Kisling,1891,1891,Jules Pascin,Friend
Moise Kisling,1891,1891,Amedeo Modigliani,Friend
Mykhailo Boychuk,1882,1882,Vasyl Sedlyar,Teacher
Mykhailo Boychuk,1882,1882,Alla Horska,Influenced On
Mykhailo Boychuk,1882,1882,Oleksandr Murashko,Friend
Mykhailo Boychuk,1882,1882,Pablo Picasso,Friend
Mykhailo Boychuk,1882,1882,Diego Rivera,Friend
Mykhailo Boychuk,1882,1882,Victor Palmov,Friend
Mykhailo Boychuk,1882,1882,Vasyl Yermylov,Friend
Mykhailo Boychuk,1882,1882,Oleksandr Bogomazov,Friend
Mykhailo Boychuk,1882,1882,Alexander Khvostenko-Khvostov,Friend
Oskar Kokoschka,1886,1886,David Lynch,Teacher
Oskar Kokoschka,1886,1886,Gustav Klimt,Influenced By
Oskar Kokoschka,1886,1886,Egon Schiele,Friend
Otto Mueller,1874,1874,Franz Stuck,Pupil
Paul Delvaux,1897,1897,Edouard Riou,Influenced By
Pinchus Kremegne,1890,1890,Michel Kikoine,Friend
Jean Metzinger,1883,1883,Marc Chagall,Teacher
Jean Metzinger,1883,1883,Henri Rousseau,Influenced By
Jean Metzinger,1883,1883,Marc Chagall,Influenced On
Jean Metzinger,1883,1883,Robert Delaunay,Friend
Jean Metzinger,1883,1883,Alice Bailly,Friend
Pinchus Kremegne,1890,1890,Chaim Soutine,Friend
Tsuguharu Foujita,1886,1886,Amedeo Modigliani,Friend
Wolf Kahn,1927,1927,Allan Kaprow,Friend
Carlos Nadal,1917,1917,Henri Matisse,Influenced By
Carlos Nadal,1917,1917,Raoul Dufy,Influenced By
Carlos Nadal,1917,1917,Maurice Utrillo,Influenced By
Carlos Nadal,1917,1917,Georges Braque,Influenced By
Guan Zilan,1903,1903,Henri Matisse,Influenced By
Guan Zilan,1903,1903,Maurice de Vlaminck,Influenced By
Ilya Mashkov,1881,1881,Vasyl Yermylov,Teacher
Ilya Mashkov,1881,1881,Robert Falk,Teacher
Nabil Kanso,1946,1946,Faust,Influenced By
Victor Palmov,1888,1888,Paul Gauguin,Influenced By
Victor Palmov,1888,1888,David Burliuk,Friend
Juan Gris,1887,1887,Karl Otto Gotz,Influenced On
