David Smith,1962,1962,Abstract Expressionism
Dimitris Mytaras,1934,1934,Expressionism
Dusan Dzamonja,1928,1928,Contemporary
Eduardo Chillida,1924,1924,Abstract Art
Edward Wadsworth,1889,1889,Vorticism
Emilio Pettoruti,1892,1892,Cubism
Enrico Prampolini,1894,1894,Futurism
Erik Bulatov,1933,1933,Sots Art
Etienne Hajdu,1907,1907,Abstract Art
Fernand Leger,1881,1881,Cubism
Fernando Lanhas,1923,1923,Abstract Art
Fernando de Szyszlo,1925,1925,Abstract Art
Francis Picabia,1879,1879,Abstract Art
Frantisek Kupka,1871,1871,Abstract Art
Franz Marc,1880,1880,Expressionism
Gabriele Munter,1877,1877,Expressionism
George Saru,1920,1920,Abstract Art
Georgia O'Keeffe,1887,1887,Precisionism
Gerardo Dottori,1884,1884,Futurism
Giacomo Balla,1871,1871,Futurism
Gio Pomodoro,1930,1930,Abstract Art
Gregorio Vardanega,1923,1923,Kinetic art
Hale Woodruff,1900,1900,Harlem Renaissance (New Negro Movement)
Hans Richter,1919,1919,Dada
Henri Matisse,1869,1869,Impressionism
Henry Moore,1898,1898,Abstract Art
Hilma af Klint,1862,1862,Abstract Art
Hossein Zenderoudi,1937,1937,Abstract Art
Ion Alin Gheorghiu,1929,1929,Abstract Art
Ion Pacea,1924,1924,Post-Impressionism
Jacoba van Heemskerck,1876,1876,Expressionism
Jacques Villon,1875,1875,Cubism
Javad Hamidi,1918,1918,Modernism
Jean Arp,1886,1886,Abstract Art
Jean David,1908,1908,Surrealism
Jean Fautrier,1898,1898,Existential Art
Jean Helion,1904,1904,Abstract Art
Jean Hugo,1975,1975,Cubism
Joaquim Rodrigo,1912,1912,Modernismo
Joaquin Torres Garcia,1874,1874,Constructivism
Johannes Itten,1888,1888,Expressionism
John Altoon,1925,1925,Abstract Expressionism
John Ferren,1905,1905,Abstract Art
John Marin,1870,1870,Expressionism
Jorge Martins,1954,1954,Pop Art
Josef Albers,1888,1888,Abstract Art
Josef Sima,1891,1891,Abstract Art
Julius Evola,1898,1898,Futurism
