artist_name,birth_year,birth_year_key,school_name,time_period
Joshua Benoliel,1873,1873,portugal1914,
Tosa Mitsuoki,1617,1617,tosa school,
Seraphine Louis,1864,1864,painters of the sacred heart,
Mykola Pymonenko,1862,1862,peredvizhniki (society for traveling art exhibitions),
Mykola Pymonenko,1862,1862,kyiv drawing school of murashko,
Louis Vivin,1861,1861,painters of the sacred heart,
Charles William Mitchell,1854,1854,pre-raphaelite brotherhood,
Carolus Duran,1837,1837,société japonaise du jinglar,
Henri Fantin Latour,1836,1836,société japonaise du jinglar,
Edward Burne Jones,1833,1833,pre-raphaelite brotherhood,
Emil Hunten,1827,1827,düsseldorf school of painting,
Utagawa Sadatora,,-999999,utagawa school,
Emanuel Gottlieb Leutze,1816,1816,düsseldorf school of painting,
Jean Francois Millet,1814,1814,barbizon school,
Agnolo Bronzino,1503,1503,florentine school,
Jacopo Pontormo,1494,1494,florentine school,
Kano Masanobu,1434,1434,kanō school,
Ghiberti,1378,1378,florentine school,
Apelles,369,369,heptanese (ionian) school,
Apelles,369,369,sicyonian school,
Louis Cane,1943,1943,supports/surfaces,
Twins Seven Seven,1944,1944,osogbo school,
Lee Ufan,1936,1936,mono-ha,
Robert Qualters,1934,1934,bay area figurative school,
Bernard Aubertin,1934,1934,zero,
Nathan Oliveira,1928,1928,bay area figurative school,
Henk Peeters,1925,1925,zero,
Oskar Holweck,1924,1924,zero,
Hiroyuki Tajima,1911,1911,bijutsu bunka kyokai,
Max Bill,1908,1908,abstraction-création,
Max Bill,1908,1908,bauhaus,
Franz Sedlacek,1891,1891,vienna secession,
Andre Bauchant,1873,1873,painters of the sacred heart,
Tsukioka Yoshitoshi,1839,1839,utagawa school,
Utagawa Kunisada,1786,1786,utagawa school,
Utagawa Kuniyoshi,1797,1797,utagawa school,
Kitagawa Utamaro,1754,1754,kitagawa school,
Katsushika Hokusai,1760,1760,katsukawa school,
