artist_name,birth_year,birth_year_key,school_name,time_period
Cornelis de Vos,1584,1584,flemish school,
Cornelis de Vos,1584,1584,antwerp school,
Cornelis van Noorde,1731,1731,haarlem school,
Diego Velazquez,1599,1599,seville school,
Dirck van Baburen,1595,1595,utrecht school,
Dirck van Baburen,1595,1595,caravaggisti,
Esaias van de Velde,1587,1587,haarlem school,
Esaias van de Velde,1587,1587,dutch school,
Francesco Guardi,1712,1712,venetian school,
Francesco Solimena,1657,1657,neapolitan school,
Francisco Herrera,1576,1576,seville school,
Francisco Pacheco,1564,1564,seville school,
Frans Hals,1582,1582,haarlem school,
Frans Hals,1582,1582,dutch school,
Frans Snyders,1579,1579,flemish school,
Gabriel Metsu,1629,1629,leiden school,
Gabriel Metsu,1629,1629,dutch school,
Gerard Terborch,1583,1583,haarlem school,
Gerard Terborch,1583,1583,dutch school,
Gerrit Dou,1613,1613,dutch school,
Giuseppe Maria Crespi,1665,1665,bolognese school,
Guercino,1591,1591,bolognese school,
Guido Reni,1575,1575,bolognese school,
Hendrick Avercamp,1585,1585,dutch school,
Hendrick Cornelisz Vroom,1562,1562,dutch school,
Hendrick Terbrugghen,1588,1588,utrecht school,
Hendrick Terbrugghen,1588,1588,caravaggisti,
Hendrick Terbrugghen,1588,1588,dutch school,
Hercules Seghers,1589,1589,dutch school,
Ivan Rutkovych,1650,1650,zhovkva school of artists,
Jacob Jordaens,1593,1593,flemish school,
Jacob Jordaens,1593,1593,antwerp school,
James Barry,1741,1741,english school,
Jan Lievens,1607,1607,dutch school,
Jan Steen,1626,1626,haarlem school,
Jan Steen,1626,1626,dutch school,
Johannes Moreelse,1603,1603,utrecht school,
Johannes Moreelse,1603,1603,caravaggisti,
Johannes Vermeer,1632,1632,delft school,
Johannes Vermeer,1632,1632,dutch school,
Joshua Reynolds,1723,1723,english school,
Judith Leyster,1609,1609,dutch school,
Matthias Stom,1590,1590,utrecht school,
Matthias Stom,1590,1590,caravaggisti,
Matthias Stom,1590,1590,dutch school,
Mattia Preti,1613,1613,caravaggisti,
Nicolaes Maes,1634,1634,delft school,
Nicolas Tournier,1590,1590,caravaggisti,
Otto van Veen,1556,1556,antwerp school,
Peter Paul Rubens,1577,1577,flemish school,
Peter Paul Rubens,1577,1577,antwerp school,
Pieter Claesz,1596,1596,haarlem school,
Pieter de Hooch,1629,1629,delft school,
Pieter de Hooch,1629,1629,dutch school,
Rembrandt,1606,1606,dutch school,
Theodoor van Thulden,1606,1606,antwerp school,
Theodoor van Thulden,1606,1606,dutch school,
William Hogarth,1697,1697,english school,
Yov Kondzelevych,1667,1667,zhovkva school of artists,
Yov Kondzelevych,1667,1667,kyivan cave monastery icon painting studio,
Cimabue,1240,1240,florentine school,
Yiannis Tsaroychis,1910,1910,armos,
Edouard Vuillard,1868,1868,les nabis,
Emile Bernard,1868,1868,pont-aven school,
Georges Lacombe,1902,1902,les nabis,
Paul Gauguin,1848,1848,pont-aven school,
Paul Serusier,1864,1864,les nabis,
Paul Serusier,1864,1864,pont-aven school,
Anne Truitt,1921,1921,washington color school,
Claude Tousignant,1932,1932,nouveaux plasticiens,
Claude Viallat,1936,1936,supports/surfaces,
Daniel Buren,1938,1938,bmpt,
Fernand Leduc,1916,1916,les automatistes,
Ian Burn,1939,1939,art & language,
Joseph Marioni,1943,1943,radical painting group,
Leon Berkowitz,1911,1911,washington color school,
