title,artwork_date,artist_name,birth_year,birth_year_key
"Fun Palace for Joan Littlewood Project, Stratford East, London, England (Perspective)",1959,Cedric Price,1934,1934
"Tetrahedron City Project, Yomiuriland, Japan (Aerial perspective)",1968,Shoji Sadao,1927,1927
"New York Birdcage-Imaginary Architecture, project, New York City, New York, Perspective from above and plan",1968,Friedrich St. Florian,1932,1932
"Supersurface, The Happy Island, project",1971,Superstudio,1966,1966
"Supersurface, The Happy Island, project",1971,Gian Piero Frassinelli,1939,1939
"Supersurface, The Happy Island, project",1971,Alessandro Magris,1941,1941
"Supersurface, The Happy Island, project",1971,Roberto Magris,1935,1935
"Supersurface, The Happy Island, project",1971,Adolfo Natalini,1941,1941
"Supersurface, The Happy Island, project",1971,Cristiano Toraldo di Francia,1941,1941
"Supersurface, The Happy Island, project",1971,Alessandro Poli,1941,1941
Variations and Interferences of 3 Non-Homogenous Grids in a 32 x 32 cm Square,1973,Lauretta Vinciarelli,1943,1943
"Housing Project, Setubal, Portugal (Elevation)",1976,J. da Nobrega,1945,1945
"Housing Project, Setubal, Portugal (Elevation)",1976,J. Charters,1945,1945
"Student Housing Project, Enschede, The Netherlands, Isometric",1964,Mathias Ungers,1926,1926
"American Memorial Library, project, Berlin, Germany",1988,Steven Holl Architects,1976,1976
"American Memorial Library, project, Berlin, Germany",1988,Stephen Cassell,1963,1963
"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989,Art Zaaijer,1958,1958
"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989,Georges Heinz,1959,1959
"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989,Heike Lohmann,1960,1960
"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989,Alex Wall,1948,1948
"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989,Christophe Cornubert,1963,1963
"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989,Ramon Klein,1957,1957
"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989,Yushi Uehara,1964,1964
"Trés Grande Bibliotheque, National Library of France, project, Paris, France",1989,Xaveer de Geijter,1957,1957
"Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France",1994,Julien Monfort,1968,1968
"Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France",1994,Yo Yamagata,1962,1962
"Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France",1994,Jeanne Gang,1964,1964
"Lemoine House (Maison à Bordeaux), Floirac, Bordeaux, France",1994,Chris Dondorp,1970,1970
"A Dutch House, Holten, The Netherlands",1993,Gro Bonesmo,1963,1963
"Offices for Willis Faber & Dumas Ltd., Ipswich, England",1970,Foster Associates,1967,1967
"Governor's Palace (Raj Bhaven) project, Chandigarh, India",1951,Pierre Jeanneret,1896,1896
"T-House, Wilton, New York (Scale model)",1988,Simon Ungers,1957,1957
"The Atheneum, New Harmony, Indiana",1975,Richard Meier & Associates,1963,1963
"Gwathmey Residence, Amagansett, New York",1965,Charles Gwathmey,1938,1938
"Kunsthalle project, Dresden, Germany",1992,Earl Childress,1956,1956
"Signal Box auf dem Wolf, Basel, Switzerland",1988,Jacques Herzog,1950,1950
"Signal Box auf dem Wolf, Basel, Switzerland",1988,Pierre de Meuron,1950,1950
"Signal Box auf dem Wolf, Basel, Switzerland",1988,Herzog & de Meuron,1978,1978
"The Museum of Modern Art, New York (Scheme 4, First Variation)",1930,George Howe,1886,1886
"The Museum of Modern Art, New York (Scheme 4, First Variation)",1930,William Lescaze,1896,1896
"Municipal Gymnasium, Simancas, Spain (Façade study)",1990,Iñaki Ábalos,1956,1956
"Municipal Gymnasium, Simancas, Spain (Façade study)",1990,Juan Herreros,1958,1958
"Company Centre Nijkerk Project, Nijkerk, The Netherlands",1992,Ben van Berkel,1957,1957
"Glass House, New Canaan, Connecticut",1947,Philip Johnson,1906,1906
"Alteka Office Building Project, Tokyo, Japan",1991,Eisenman Architects,1988,1988
"Alteka Office Building Project, Tokyo, Japan",1991,Richard Rosson,1959,1959
"Addition to the Solomon R. Guggenheim Museum, New York, New York, Scale model 1/16"" = 1',",1984,Gwathmey Siegel & Associates Architects,1967,1967
"Addition to the Solomon R. Guggenheim Museum, New York, New York, Scale model 1/16"" = 1',",1984,Robert Siegel,1939,1939
"Facade Panel from the Ricola Europe Factory and Storage Building, Mulhouse-Brunnstatt, France",1992,Basel,1950,1950
"Facade Panel from the Ricola Europe Factory and Storage Building, Mulhouse-Brunnstatt, France",1992,Pierre de Meuron,1865,1865
"Mediatheque, Sendai, Miyagi Prefecture, Japan (Scale model 1:150)",1995,Toyo Ito & Associates,1971,1971
"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990,Winy Maas,1959,1959
"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990,Elizabeth Alford,1967,1967
"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990,Xaveer de Geyter,1970,1970
"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990,Ray Maggiore,1964,1964
"Palm Bay Seafront Hotel and Convention Center Project, Agadir, Morocco",1990,Vince Scirano,1966,1966
"Federal Building and United States Courthouse, Islip, New York, Study of entry rotunda",1993,Richard Meier & Partners,1963,1963
"Nike Tower, project, Linz, Austria",1991,Ortner & Ortner,1987,1987
"Nike Tower, project, Linz, Austria",1991,Laurids Ortner,1941,1941
"Nike Tower, project, Linz, Austria",1991,Manfred Ortner,1943,1943
"Sight Specific, project",1994,Marc Tsurumaki,1965,1965
"Sight Specific, project",1994,Jonathan Crary,1951,1951
"Villa in the Forest, Chino, Nagano, Japan",1992,Kazuyo Sejima & Associates,1987,1987
"Detail of Roof Top for Waterloo International Terminal, London, England",1990,Nicholas Grimshaw,1939,1939
"Leisure Studio, Puolarmaari, Espoo, Finland",1990,Juha Kaakko,1964,1964
"Leisure Studio, Puolarmaari, Espoo, Finland",1990,Ilkka Laine,1964,1964
"Leisure Studio, Puolarmaari, Espoo, Finland",1990,Kimmo Liimatainen,1965,1965
"Leisure Studio, Puolarmaari, Espoo, Finland",1990,Jari Tirkkonen,1965,1965
Scissors,1960,Olof Backstrom,1922,1922
"Embassy of Finland, Washington D.C.",1990,Heikkinen Komonen Architects,1974,1974
"Embassy of Finland, Washington D.C.",1990,Mikko Heikkinen,1949,1949
"Embassy of Finland, Washington D.C.",1990,Markku Komonen,1945,1945
"Kansai International Airport, Passenger Terminal Main Building, Osaka, Japan, Study model of main structural truss",1988,Renzo Piano,1937,1937
"Kansai International Airport, Passenger Terminal Main Building, Osaka, Japan, Study model of main structural truss",1988,Renzo Piano Building Workshop,1980,1980
"Kansai International Airport, Passenger Terminal Main Building, Osaka, Japan, Study model of main structural truss",1988,Noriaki Okabe,1931,1931
"Kyle Residence Project, Houston, Texas",1991,Architect,1965,1965
"Saishunkan Seiyaku Women's Dormitory, Kumamoto City, Japan (Scale model 1:100)",1990,Kazuyo Sejima,1956,1956
"Doldertal Apartments, Zurich, Switzerland",1936,Alfred Roth,1930,1930
"Doldertal Apartments, Zurich, Switzerland",1936,Emil Roth,1896,1896
"Tohoku Historical Museum project, Sendai, Tohoku, Japan",1994,Asymptote Architecture,1989,1989
"Tohoku Historical Museum project, Sendai, Tohoku, Japan",1994,New York,1958,1958
"Tohoku Historical Museum project, Sendai, Tohoku, Japan",1994,Hani Rashid,1959,1959
Bowl,1949,James Prestini,1908,1908
Prisma Tumblers,1967,Kaj Franck,1911,1911
Battery Jar,1920,Corning Glass Works,1851,1851
Timer (model 152),1960,Rodolfo Bonetto,1929,1929
Nizo S 30 Super-8 Camera,1970,Robert Oberheim,1938,1938
Nutcracker,1950,Carl Auböck,1900,1900
Ericofon Telephone,1949,L.M. Ericsson Telephone Company,1876,1876
Ericofon Telephone,1949,Sweden,1897,1897
Ericofon Telephone,1949,Hugo Blomberg,1907,1907
Ericofon Telephone,1949,Ralph Lysell,1916,1916
Coiffeur/Set (model HLD 3/31),1972,Reinhold Weiss,1934,1934
Combi Electric Shaver,1957,Dieter Rams,1932,1932
Combi Electric Shaver,1957,Gerd Alfred Müller,1932,1932
Folding Propeller,1963,David Walter Beck,1915,1915
Table Lamp,1962,Massimo Vignelli,1931,1931
