title,artwork_date,artist_name,birth_year,birth_year_key
Apple iSub Speaker,2000,Harman Kardon Co.,1953,1953
Apple iSub Speaker,2000,Jonathan Ive,1967,1967
Swell Soundwave Panels,1999,Teppo Asikainen,1968,1968
Swell Soundwave Panels,1999,OFFECCT,1990,1990
Cartoon Screen,1992,Luigi Baroli,1951,1951
Resolve System: Delta Configuration,1997,Ayse Birsel,1964,1964
Durabeam Flashlight,1986,Nick Butler,1942,1942
Artican Wastepaper Basket,1999,matali crasset,1965,1965
Bic Cristal® Ballpoint pen,1950,Décolletage Plastique Design Team,1945,1945
Storagesystem: Shelves (with 9 boxes) and Trolley (prototype),2000,Markus Nevalainen,1970,1970
Storagesystem: Shelves (with 9 boxes) and Trolley (prototype),2000,Kari Sivonen,1969,1969
Spandrobe Storage Closet,2000,Rick Galezowski,1954,1954
Haller System,1963,Fritz Haller,1924,1924
Low Lounge Chair (model 650),1941,Jens Risom,1916,1916
Conference Telephone Prototype,2000,Sam Hecht,1969,1969
Conference Telephone Prototype,2000,Chris Chapman,1964,1964
Conference Telephone Prototype,2000,David Sandbach,1963,1963
Globlow Lamp,1996,Vesa Hinkola,1970,1970
Globlow Lamp,1996,Rane Vaskivuori,1967,1967
Piano Seduto,2000,Jay Kyu Lee,1964,1964
AIBO entertainment robot (ERS-110),1999,Hajime Sorayama,1947,1947
V 3682 Cellular Telephone,1996,Albert Nagele,1935,1935
Low Chair,1993,Maarten Van Severen,1956,1956
Hysterical Lace,2001,Margherita Manzelli,1968,1968
Playtime for Dung-Hills,2000,Jockum Nordström,1963,1963
and she stepped in and couldn't believe what she'd seen - myself as a king-corrupted,2001,Franz Ackermann,1963,1963
Untitled (Corn),2000,Troy Brauntuch,1954,1954
#61 Working Drawing,2000,Ingrid Calame,1968,1968
Untitled (Butterfly Prussian Blue),1998,Iran do Espirito Santo,1963,1963
Ugh Sr. and Merle,2001,Brad Kahlhamer,1956,1956
Untitled (Pen Sketch),1996,Manfred Pernice,1963,1963
Untitled (TC/NH 1/94 #A07),1994,Nancy Haynes,1947,1947
Delicate Arc,1986,Linda Lynch,1958,1958
Delta,1994,Bruno Rousselot,1957,1957
Untitled (triptych),2000,Chris Finley,1971,1971
Untitled 8-17,2001,Thomas Nozkowski,1944,1944
"Spreebogen Competition for the German Parliament, project, Berlin, Germany",1993,Kolatan / Mac Donald Studio,1988,1988
"Spreebogen Competition for the German Parliament, project, Berlin, Germany",1993,Ayse Sulan Kolatan,1958,1958
"Spreebogen Competition for the German Parliament, project, Berlin, Germany",1993,William J. Mac Donald,1956,1956
"Study for a House of Sociability, project,",1920,Hermann Finsterlin,1887,1887
"The Museum of Modern Art, New York City, New York",1939,Philip L. Goodwin,1885,1885
"The Museum of Modern Art, New York City, New York",1939,Edward Durell Stone,1902,1902
Decorative Photo-Micrographs,1931,Laure Albin-Guillot,1878,1878
"Ministry of Education and Health, Rio de Janeiro, Brazil",1937,Lúcio Costa,1902,1902
"Ministry of Education and Health, Rio de Janeiro, Brazil",1937,Carlos Leão,1906,1906
"Ministry of Education and Health, Rio de Janeiro, Brazil",1937,Jorge Machado Moreira,1904,1904
"Ministry of Education and Health, Rio de Janeiro, Brazil",1937,Affonso Eduardo Reidy,1909,1909
"Ministry of Education and Health, Rio de Janeiro, Brazil",1937,Ernâni Vasconcelos,1912,1912
"Oakland Museum, Oakland, California",1961,Kevin Roche,1922,1922
"Oakland Museum, Oakland, California",1961,John Dinkeloo,1918,1918
"House for Louis C. Upton, Paradise Valley, Arizona",1950,Paul Schweikher,1903,1903
"Lever House, New York, New York",1950,Natalie Griffin de Blois,1921,1921
"Dome House, Cave Creek, Arizona",1949,Mark Mills,1939,1939
Everyone Belongs to Everyone Else,2000,Matthew Ritchie,1964,1964
Plan 7,1999,Darren Almond,1971,1971
"National Opera House, Sydney, Australia (Key for the geometry of the Opera shells)",1961,Jørn Utzon,1918,1918
"Iglesia de San Pedro, Durazno, Uruguay",2011,Eladio Dieste,1917,1917
"National Opera House, Sydney, Australia (Key for the geometry of the Opera shells)",1961,Ove N. Arup Consulting Engineers,1946,1946
Untitled (red vertical form),1987,Acharya Vyakul,1930,1930
Arrivée du magicien (Arrival of the Magician),1998,Davor Vrankic,1965,1965
"Banco Nazionale del Lavoro, Reagan, Bush, Thatcher, and the Arming of Iraq, c. 1979-1990 (4th version)",1998,Mark Lombardi,1951,1951
Black Tears (Lágrimas Negras),2000,Ibrahim Miranda,1969,1969
Nine Prints,1999,James Siena,1957,1957
Liquid Skin Drinking Cup,1998,Barbara Ambrosz,1972,1972
Legal-size Paperweight,1984,Tibor Kalman,1949,1949
Mag Charger Rechargeable Flashlight,1982,Anthony Maglica,1930,1930
Rocking Knife,1968,W. D. Slater,1923,1923
"Twin House, Liberty, New York (Concept drawing)",1990,Thomas Leeser,1952,1952
"Torus House, Old Chatham, New York (Scale model, 1999)",1999,Preston Scott Cohen,1961,1961
"Hergott Shepard Residence, Beverly Hills, California",1999,Michael Maltzan,1959,1959
"Moebius House, Het Gooi, The Netherlands (Scale model)",1993,Caroline Bos,1959,1959
Square Vase,1999,Ronan Bouroullec,1971,1971
Square Vase,1999,Erwan Bouroullec,1976,1976
SO 070,2001,Claudy Jongstra,1963,1963
Epidermis (Ocean),1994,Yuh Okano,1965,1965
Flexible Mat Slab,1994,Henk Stallinga,1962,1962
Civitas,1997,Karin Apollonia Müller,1963,1963
"Pl. Powstancow Slaskich, Pódgorze",1979,Craigie Horsfield,1949,1949
Wired,1974,Christina Ramberg,1946,1946
Raff Linen,1950,Viola Gråsten,1910,1910
"Untitled, from the series Case History",1997,Boris Mikhailov,1938,1938
Puteshestvie Charli (Charlie's Travels),1924,Galina Dmitrievna Chichagova,1891,1891
Puteshestvie Charli (Charlie's Travels),1924,Olga Dmitrievna Chichagova,1886,1886
Paul Citroen,1928,Marianne Breslauer,1909,1909
Lustucru Pasta,1930,Blanc et Demilly,1924,1924
"Steamship Pipes, Paris",1931,Marjorie Content,1895,1895
Stone Stele #14,2001,Wenda Gu,1955,1955
Untitled (forProjects 75: Laylah Ali),2002,Laylah Ali,1968,1968
In the Gallery,1927,Semyon Fridlyand,1905,1905
Solid in Space – Enlarged,1935,Jaroslava Hatláková,1904,1904
Bauhaus: View from the Workshops Building onto the Studio Building,1929,Irene Hoffmann,1903,1903
Jean Crotti's Bust of Duchamp,1915,Peter A. Juley,1862,1862
Moscow Illuminations Celebrating the Tenth Anniversary of the Russian Revolution,1927,Roman Karmen,1906,1906
Neptune,1916,István Kerny,1879,1879
Photogram Lightbulb,1927,Edmund Kesting,1892,1892
Luxury Rentals,1932,Jiří Lehovec,1909,1909
Self-Portrait in Mirror,1925,Otto Lindig,1895,1895
La Flore de Saint-Malo,1929,Eli Lotar,1905,1905
Mouth of a Fish,1930,Jean Painlevé,1902,1902
"Gustav Stresemann and Count Zech, Evening Conversation in The Hague",1929,Felix H. Man,1893,1893
"Cologne Kalkerfeld Settlement, Balcony of the Penthouse of the ""Blue Court""",1928,Werner Mantz,1901,1901
Co-op: 1926/III,1926,Hannes Meyer,1889,1889
Bubi,1927,Jean Moral,1906,1906
Photogram Signet,1925,Oskar Nerlinger,1893,1893
Assembling a Hydro-Generator at the Farkhad Power Station,1947,Max Penson,1893,1893
Newspaper Propaganda,1928,József Pécsi,1889,1889
Waves of Sea and Gypsum,1929,Walter A. Peterhans,1897,1897
The Course of the Mulde with Sand Deposits in the Curves,1920,Robert Petschow,1888,1888
Ellipsoid,1931,Edward W. Quigley,1898,1898
The Sculptor Renée Sintenis,1925,Frieda Gertrud Riess,1890,1890
Mysterious Apparition,1928,Franz Roh,1890,1890
Parkett no. 63,2001,Francis Alÿs,1959,1959
Parkett no. 63,2001,Gregor Schneider,1969,1969
Parkett no. 63,2001,Jeremy Blake,1971,1971
The Einstein Tower in Potsdam (The Coelostat in the Upper Dome That Catches and Projects the Light of the Stars into the Laboratory),1928,Sasha Stone,1895,1895
"Untitled, from On the Needles of These Days (Na jehlách těchto dní ) (1945)",1934,Jindřich Štyrský,1899,1899
"Untitled, from Moment Musical (Drobiazg Melodyjny) (1933)",1933,Stefan Themerson,1910,1910
"Untitled, from Moment Musical (Drobiazg Melodyjny) (1933)",1933,Franciszka Themerson,1907,1907
Barcelona—Courtyard of Hotel Ritz under Awnings,1935,Carl Van Vechten,1880,1880
Lunch (12–2 p.m.),1931,Iwao Yamawaki,1898,1898
Glass (Study),1929,Willy Zielke,1902,1902
At the Masters' Houses,1929,Gertrud Arndt,1903,1903
The Smoker–The Match–The Cigarette,1911,Anton Giulio Bragaglia,1890,1890
The Smoker–The Match–The Cigarette,1911,Arturo Bragaglia,1893,1893
Max Weber,1914,Gertrude LeRoy Brown,1870,1870
Refugees,1916,Clarence Sinclair Bull,1896,1896
"Naftaly Rubinstein, Warsaw",1928,Erich Comeriner,1907,1907
Erich Salomon,1929,Lore Feininger,1901,1901
Glühbirne (Incandescent Lamp),1928,Hans Finsler,1891,1891
"Untitled (Daisy Spies as the Spiral in Oskar Schlemmer's ""Triadic Ballet"")",1926,Karl Grill,1889,1889
Brooklyn Bridge in Rainy Weather,1927,J. Jay Hirz,1879,1879
Roll Film Holder,1916,Bernard Shea Horne,1867,1867
Deep Sea Mud 380/1,1930,August Kreyenkamp,1875,1875
Untitled still from The Magician (1926),1925,Harry Lachman,1886,1886
"Concourse, Jersey City Station",1915,Walter R. Latimer,1880,1880
Backstroke,1930,Kate Steinitz,1889,1889
Nude Study 13,1932,Cami Stone,1892,1892
Sand Drawings,1978,Charles Wilp,1932,1932
Prototype IBM Dictating Machine Stand,1960,William Plumb,1932,1932
Cable Turtle,1996,Flex Development B.V.,1988,1988
Door Handles,1922,Adolf Meyer,1881,1881
"Stadthaus Scharnhauser Park, Ostfildern, Germany, e.gram model",1998,Jürgen Mayer H.,1965,1965
"Stadthaus Scharnhauser Park, Ostfildern, Germany, e.gram model",1998,Sebastian Finckh,1963,1963
Billie,1996,Katharina Bosse,1968,1968
Der Neue BMW,1930,Henry Ehlers,1897,1897
Dürkopp Automobile,1923,Fritz Landwehr,1897,1897
Honey-Pop Armchair,2000,Tokujin Yoshioka,1967,1967
Moscardino,2000,Giulio Iacchetti,1966,1966
Moscardino,2000,Matteo Ragni,1972,1972
Moscardino,2000,Pandora Design,1998,1998
Set Construction,1995,Miriam Bäckström,1967,1967
New Building,2001,Oliver Boberg,1965,1965
"Shipbreaking #13, Chittagong, Bangladesh",2000,Edward Burtynsky,1955,1955
Untitled (The Right Protection),1999,Maria Magdalena Campos-Pons,1959,1959
In Tribute to Madame Pompadour and the Court of Louis XV (Perfume Set),1985,Paul Etienne Lincoln,1959,1959
Jeep M-38A1 Utility Truck,1952,Willys-Overland Motors,1909,1909
Eran and the Computer,1998,Elinor Carucci,1971,1971
"Smart Car (""Smart & Pulse"" Coupé)",1998,Micro Compact Car Smart GmbH,1994,1994
Volkswagen Type 1 Sedan,1938,Ferdinand Porsche,1875,1875
President Truman and Lauren Becall at the Press Club Canteen,1945,Charles Corte,1913,1913
Gossip,1992,John Waters,1946,1946
Manufacturers of Constellation,2000,Michaël Borremans,1963,1963
Yellow Bathtub/Three Touched,2000,Mark Manders,1968,1968
Melancholy Girl,2001,Chloe Piene,1972,1972
"The Habitable Sculpture project, New York, NY",2001,Alan Ritchie,1938,1938
"""Condemnation without Trial""",1989,Chéri Samba,1956,1956
Fecund,2001,Roxy Paine,1966,1966
Parkett no. 64,2002,Rodney Graham,1949,1949
Parkett no. 64,2002,Amy Sillman,1955,1955
Parkett no. 64,2002,Nic Hess,1968,1968
Parkett no. 65,2002,Laura Owens,1970,1970
Parkett no. 65,2002,Michael Raedecker,1963,1963
2/0,1971,Dove Bradshaw,1949,1949
Coat Check,2002,Guillermo Kuitca,1961,1961
"Nach New York (To New York), Poster for HAPAG (Hamburg-America Line)",1933,Theodor Paul Etbauer,1892,1892
Resource Allocation,2002,Daniel Zeller,1965,1965
"Untitled (4 days, 3 nights, 1 summer)",2001,Joey Kötting,1966,1966
Iconic Debris,2002,Jason Middlebrook,1966,1966
"(Untitled) ""Children's Drawings As Diagnostic Aids"" by Joseph H. Dileo/ ""Handbook of Scenery, Properties, and Lighting"" by Harvey Sweet",1998,Robert Beck,1959,1959
Overwrought Whirligig,1996,Jonathan Hammer,1960,1960
A Knock,2000,Arturo Herrera,1959,1959
Dremefa Multibob child safety seat,2002,npk industrial design b.v.,1979,1979
Dremefa Multibob child safety seat,2002,Wolfram Peters,1952,1952
Dremefa Multibob child safety seat,2002,Robert Sluijter,1967,1967
Dremefa Multibob child safety seat,2002,Janwillem Bouwknegt,1973,1973
Dremefa Multibob child safety seat,2002,Camille van den Brande,1966,1966
Dremefa Multibob child safety seat,2002,Paul Groeneveld,1974,1974
Fifty by Fifty Feet House Project (Myron Goldsmith's notebook),1950,Myron Goldsmith,1918,1918
"Neue Wache War Memorial, project, Berlin-Mitte, Germany, Sketch of jury discussing the Neue Wache War Memorial competition entries",1930,Sergius Ruegenberg,1903,1903
The Caravan,2002,Marlon Castellanos,1974,1974
The Damned Circumstance of Water Everywhere (La Maldita circunstancia del agua por todas partes),1993,Sandra Ramos,1969,1969
Closed Circuit,2002,John F. Simon,1963,1963
The Happy Benefit Print,2002,Ruth Root,1967,1967
Mall,2001,Paul Noble,1963,1963
Being Necessitates Faith in Paper,1989,Jessica Diamond,1957,1957
Trama - XXXIII,1997,Alex Gama,1950,1950
The Elegant Gathering,2002,Yun-Fei Ji,1963,1963
Top Cat Bag (model F13),1993,Markus Freitag,1971,1971
Top Cat Bag (model F13),1993,Daniel Freitag,1972,1972
Virtually Indestructible Keyboard,2001,Kim Young Jin,1965,1965
Untitled from the series On the Sixth Day,1996,Alessandra Sanguinetti,1968,1968
"Bank and Office Building, project, Stuttgart, Germany, Perspective",1928,Paul Bonatz,1877,1877
"Bank and Office Building, project, Stuttgart, Germany, Perspective",1928,Friedrich Eugen Scholer,1874,1874
"Bank and Office Building, project, Stuttgart, Germany, Model",1928,Konstanty Gutschow,1902,1902
"Bank and Office Building, project, Stuttgart, Germany, Perspective, proposals for neon signs",1928,Adolf Gustav Friedrich Schneck,1883,1883
"Bank and Office Building, project, Stuttgart, Germany, Perspectives, propsals for neon signs",1928,Alfred Fischer,1881,1881
"Bank and Office Building, project, Stuttgart, Germany, Elevations of Lautenschlager Strasse and Hindenburgplatz",1928,Richard Döcker,1894,1894
"Bank and Office Building, project, Stuttgart, Germany, Elevation of Lautenschlager Strasse",1928,Ernst Stahl,1882,1882
Doublewide Chair,2002,Robert James Leonetti,1965,1965
Dual Cyclone Vacuum Cleaner (model DC02),1994,James Dyson,1947,1947
Duracell AA Battery,1960,Duracell International Inc.,1944,1944
South of the Border,2002,Fernando Bryce,1965,1965
Walking (Dry Winter),2002,Ginny Bishton,1967,1967
Oasis,1996,Charles LeDray,1960,1960
Water CXXXVIII,1994,Susan Hambleton,1940,1940
Blowing Bubbles: Paintings by Sang-Ah Choi,2002,Sang-Ah Choi,1971,1971
Cigars with Ideology (Tabaco con ideología),2001,Abel Barroso,1971,1971
"Auteuil, Day of the Races",1913,Jules Séeberger (Séeberger Freres),1872,1872
"Auteuil, Day of the Races",1913,Louis Séeberger (Séeberger Frères),1874,1874
"Auteuil, Day of the Races",1913,Henri Séeberger (Séeberger Frères),1876,1876
Giso 404 Piano Lamp,1927,J. J. Pieter Oud,1890,1890
"Terrain, project",1999,Lebbeus Woods,1940,1940
"International Space Station Habitation Module, NASA, project, Design development study for the ""Osmatic Membrane"" (OM) Scheme, Longitudinal section",1983,Michael Kalil,1943,1943
"House at Sagaponac, Sagaponack, New York (Scale model 1""=10'0"")",2000,Jesse Reiser,1958,1958
5 Minute Break,2001,Kristin Lucas,1968,1968
"HIDEO, It's Me Mama",1983,Mako Idemitsu,1940,1940
Interregna,1999,John Pilson,1968,1968
Meta-Mayan II,1981,Edin Velez,1951,1951
Navigating the Void,2002,Melinda Morey,1963,1963
Eating,1997,Zhang Peili,1957,1957
Vincent-HRD Series C Black Shadow Motorcycle,1949,Philip Vincent,1908,1908
Vincent-HRD Series C Black Shadow Motorcycle,1949,Phil Irving,1903,1903
AM2 Bicycle,1983,Alex Moulton,1920,1920
Slow Print,2003,Marco Maggi,1957,1957
Ramble,2003,Benjamin Edwards,1970,1970
Stasi City,1997,Louise Wilson,1967,1967
Stasi City,1997,Jane Wilson,1967,1967
Parkett no. 67,2003,John Bock,1965,1965
Parkett no. 67,2003,Marcel Dzama,1974,1974
Parkett no. 68,2003,Jonathan Monk,1969,1969
SSS,1989,Charles Atlas,1949,1949
Cold Pieces 2,2002,Seoungho Cho,1959,1959
Beta Nassau,1993,Piotr Wyrzykowski,1968,1968
"Field, Härtsfeld/Schwäbische Alb",2000,Simone Nieweg,1962,1962
Mattias Escape Durlangen,2000,Collier Schorr,1963,1963
"""Flap"" Sofa",2000,Francesco Binfaré,1939,1939
"Aktion Poliphile: Hypnerotomachia Ero/machia/hypniahouse, project, Wiesbaden, Germany, Site plan",1989,Reiser + Umemoto RUR Architecture PC,1986,1986
"Interrupted Highway, Gabbari, Alexandria, Egypt",1999,Robert Polidori,1951,1951
A Door,1972,Vladimir Borissovitch Yankilevsky,1938,1938
"Avec mon sac, bague et braceles (With my Bag, Rings and Bracelets)",1968,Malick Sidibé,1936,1936
"Brushstrokes: January 19, 1992, no. 6",1992,Hannah Wilke,1940,1940
An Average Day I,2003,Fred Wilson,1954,1954
New York City Subway Guide,1970,Bob Noorda,1927,1927
New York City Subway Guide,1970,Joan Charysyn,1946,1946
New York City Subway Guide,1970,Unimark International Corporation,1964,1964
New York Subway Map,1970,New York,1927,1927
"Untitled, Prada advertising campaign, Spring/Summer 2001",2001,Cedric Buchet,1974,1974
Suburban Metro Lines,2000,Moshekwa Langa,1975,1975
Three Blind Mice,2003,Verne Dawson,1955,1955
"Julian Alps Near Triest, Yugoslavia",1964,Joseph E. Yoakum,1891,1891
"""HeadBlade"" Razor",1997,Todd Greene,1967,1967
Untitled (movie grid),2003,Dinh Q. Lê,1968,1968
Porta Oggetti,1973,Franco Annoni,1924,1924
"""Cinta 5"" armchair",1968,Alberto Churba,1932,1932
Chica demountable child's chairs,1971,Giorgio DeCurso,1927,1927
Mies Chair and Ottoman,1969,Archizoom Associati,1966,1966
Mies Chair and Ottoman,1969,Gilberto Corretti,1941,1941
Mies Chair and Ottoman,1969,Paolo Deganello,1940,1940
Mies Chair and Ottoman,1969,Massimo Morozzi,1941,1941
Mies Chair and Ottoman,1969,Dario Bartolini,1943,1943
Mies Chair and Ottoman,1969,Lucia Bartolini,1944,1944
2003.2.1,2003,Fang Lijun,1963,1963
Rubber Chair NON,2000,Boris Berlin,1953,1953
Rubber Chair NON,2000,Poul Christiansen,1947,1947
Rubber Chair NON,2000,Komplot Design,1987,1987
Everything That Happens is Because of the Sun,2002,Chris Johanson,1968,1968
Deadman 1-5,2003,Paul Chan,1973,1973
Lesjofors,1997,Lars Tunbjörk,1956,1956
Vespa GS 150,1955,Corradino D'Ascanio,1891,1891
Napali Kayak,2003,Murray Broom,1955,1955
Napali Kayak,2003,Clear Blue Hawaii,2001,2001
"""Night Heron"" Kayak",1998,Nick Schade,1963,1963
Study in Green,2003,Andy Diaz Hope,1967,1967
"Aspirin® Tablet, 500 mg.",1900,Bayer Research Laboratories,1863,1863
Band-Aid,1921,Earle Dickson,1891,1891
Band-Aid Advanced Healing Blister,2001,Coloplast A/S,1957,1957
J1 Bic® Disposable Lighter,1972,Flaminaire,1939,1939
Joiner biscuit,1955,Hermann Steiner,1913,1913
Crown Bottle Cap,1892,William Painter,1838,1838
Bubble Wrap® Air Cellular Cushioning,1960,Marc A. Chavannes,1896,1896
Bubble Wrap® Air Cellular Cushioning,1960,Alfred W. Fielding,1917,1917
"Beverage Can with Non-removable Pull-Tab Opener (""Stay-on Tab"")",1975,Daniel F. Cudzik,1934,1934
Chupa Chups® Lollipop,1958,Enric Bernat i Fontlladosa,1923,1923
Soft Contact Lenses,1950,Otto Wichterle,1913,1913
Digital Compact Disc,1970,Philips Research Laboratories,1891,1891
Frisbee,1948,Walter Frederick Morrison,1920,1920
Frisbee,1948,Warren Franscioni,1917,1917
"""Itty Bitty"" Book Light",1982,Noel Zeller,1936,1936
Jelly Belly Jellybeans,1976,Herman Goelitz Rowland,1941,1941
Soy Sauce Dispenser,1961,Kenji Ekuan,1929,1929
Soy Sauce Dispenser,1961,GK Design Group,1953,1953
Kadokeshi Plastic Eraser,2001,Hideo Kanbara,1978,1978
M&Ms,1930,Forrest Mars,1904,1904
Flat-Bottomed Paper Bag,1870,Margaret E. Knight,1838,1838
Push Pins,1900,Edwin Moore,1878,1878
Slinky,1945,Richard James,1914,1914
Slinky,1945,Betty James,1918,1918
Double Chamber Tea Bag - Flow-thru Tea Bag,1949,Adolf Rambold,1900,1900
Tetra Classic,1943,Ruben Rausing,1895,1895
Tetra Classic,1943,Erik Wallenberg,1915,1915
Tetra Brik,1959,Tetra Pak Research Laboratories,1951,1951
Yaktrax Walker for icy conditions,1996,Thomas E. Noy,1948,1948
The World Map A,2000,Hong Hao,1965,1965
Transfer,1999,Eve Aschheim,1958,1958
The Look Stains (681 - 695),2002,Brad Brown,1964,1964
Equator Drawing G1-D,1981,Kenneth Capps,1939,1939
#12,1991,Max Cole,1937,1937
Letter to the Mother,1993,Elena del Rivero,1949,1949
Fringes of Society,2001,Lee Etheredge IV,1968,1968
Single Pulse,1993,Kendra Ferguson,1946,1946
strokes then turn,1999,Suzan Frecon,1941,1941
Untitled from the Circuitous Series,1997,Cheryl Goldsleger,1951,1951
3036 Gotas de Tinta,1991,Teo González,1964,1964
Untitled (L.01.2),2001,Christine Hiebert,1960,1960
A Priori,1992,Ann Ledy,1952,1952
"Weekend Fine Arts & Leisure from The New York Times, Friday, December 25, 1998",1999,Stefana McClure,1959,1959
Distribution #9,2000,Stephen Metts,1968,1968
Par,2000,Gloria Ortiz-Hernández,1943,1943
Long Letter,2003,Laurie Reid,1964,1964
Circles (Dark),1999,Winston Roeth,1945,1945
Flume,1999,Susan Schwalb,1944,1944
"Untitled, from the series Sugar Cane",2003,Zwelethu Mthethwa,1960,1960
"Untitled (white building with bush, Laredo, Texas)",2000,Victoria Sambunaris,1964,1964
"Big Belt House, White Sulfur Spring, Montana, Scale model 1:100",2000,William E. Massie,1962,1962
Untitled from Colazione con Sant'Agata,2002,Erwin Pfrang,1951,1951
\\\,2003,D-L Alvarez,1965,1965
"Poolhouse, Sagaponack, New York, Scale model 1:100",2000,Lindy Roy,1963,1963
White House,2005,Lida Abdul,1973,1973
"Untitled #17, from the series Scanscape",1994,Marc Räder,1966,1966
"A High Voltage Cable Snaps Loose and Hits a Man Walking Along Tacaba Street. Despite Being Badly Electrocuted, He Survived",1958,Enrique Metinides,1934,1934
"Central Chinese Television Tower (CCTV), Beijing, China",2002,Ole Scheeren,1971,1971
"World Trade Center Proposal Project, New York, New York (Scale model 1:200)",2002,United Architects,2002,2002
"World Trade Center Proposal Project, New York, New York (Scale model 1:200)",2002,Peter Frankfurt,1958,1958
"World Trade Center Proposal Project, New York, New York (Scale model 1:200)",2002,Mikon van Gastel,1971,1971
"World Trade Center Proposal Project, New York, New York (Scale model 1:200)",2002,Kevin Kennon,1958,1958
"World Trade Center Proposal Project, New York, New York (Scale model 1:200)",2002,Greg Lynn,1964,1964
"World Trade Center Proposal Project, New York, New York (Scale model 1:200)",2002,Farshid Moussavi,1965,1965
"World Trade Center Proposal Project, New York, New York (Scale model 1:200)",2002,Alejandro Zaera-Polo,1963,1963
"5th Avenue and 42nd Street Tower project, New York, NY",2002,Solange Fabião,1963,1963
Four Legs,2003,Kumi Machida,1970,1970
Articulated Mobile Sculpture,1948,Gyula Kosice (Fernando Fallik),1924,1924
Woman of the River,1939,Armando Reverón,1889,1889
Dinner Service,1901,Jutta Sika,1877,1877
Split Flap Board Flight Information Display System,1996,Solari di Udine,1948,1948
"""Transglass"" Glassware",1997,Tord Boontje,1968,1968
"""Transglass"" Glassware",1997,Emma Woffenden,1962,1962
"""AlgoRhythms"" Columns",1997,Haresh Lalvani,1955,1955
"""AlgoRhythms"" Columns",1997,Bruce Gitlin,1942,1942
"""AlgoRhythms"" Columns",1997,Alex Kveton,1948,1948
"""AlgoRhythms"" Columns",1997,Neil Katz,1962,1962
Travel Cutlery Set,1821,Christian Sander,1788,1788
Triumphal Entry of the Bavarian Army into Munich,1871,Joseph Albert,1825,1825
"Black Man, White Woman, Johannesburg, South Africa",1977,Jeanne Moutoussamy-Ashe,1951,1951
Sacco Chair,1968,Piero Gatti,1940,1940
Sacco Chair,1968,Cesare Paolini,1937,1937
Sacco Chair,1968,Franco Teodoro,1939,1939
"""Picture a City"" Video for Bradford City Centre Master Plan, Bradford, West Yorkshire, England UK",2003,London,2002,2002
"Schouwburgplein (Theater Square), Rotterdam, Zuid-Holland, The Netherlands",1991,Adriaan Geuze,1960,1960
"Southeast Coastal Park, Barcelona, Spain",2000,Foreign Office Architects (FOA),1992,1992
"Southeast Coastal Park, Barcelona, Spain",2000,London,1965,1965
"Southeast Coastal Park, Barcelona, Spain",2000,Farshid Moussavi,1963,1963
Never My Soul (single screen version),2001,Kutlug Ataman,1961,1961
Gras,2001,Heike Baranowsky,1967,1967
Jet Engine Fan Blade (model GE90-115B),2001,GE Aircraft Engines,1942,1942
Bye and Bye (Nine Sad Etchings),2002,Trenton Doyle Hancock,1974,1974
Final Home 44-pocket parka,1994,Kosuke Tsumura,1959,1959
Capsters Sports Headgear for Muslim Women. Outdoors version,1999,Cindy van den Bremen,1972,1972
AutoSock for snow,2002,Hareide Designmill,2000,2000
AutoSock for snow,2002,Bård Løtveit,1959,1959
AutoSock for snow,2002,Einar Hareide,1959,1959
AutoSock for snow,2002,Anders Hansen,1971,1971
Startloop car battery starting device,2001,Øivind Resch,1961,1961
MIMID Miniature Mine Detector,1996,Gerhard Heufler,1944,1944
Spider Boot Antipersonnel Mine Foot Protection System,1998,Gad Shaanan Design,1981,1981
"PUMA Bike, from the PUMA Tribranded Collection",2004,Biomega,1998,1998
"PUMA Bike, from the PUMA Tribranded Collection",2004,Jens Martin Skibsted,1970,1970
"PUMA Bike, from the PUMA Tribranded Collection",2004,Adam Thorpe,1969,1969
"PUMA Bike, from the PUMA Tribranded Collection",2004,Joe Hunter,1967,1967
Condom Applicator,2004,…XYZ Dot Dot Dot Ex Why Zed Design,2000,2000
Condom Applicator,2004,Ltd.,1959,1959
Condom Applicator,2004,Roelf Mulder,1973,1973
Condom Applicator,2004,Byron Qually,1970,1970
"Peter Pin, R. Bunnit, and Didoo Railings, from the Sweet Dreams Security series",2003,Matthias Megyeri,1973,1973
"Sleep Wand, from the Objets Thérapeutiques collection (Model)",2001,Mathieu Lehanneur,1974,1974
"Stop Thief! Ply Chair, from the Smart Antitheft Furniture Range (Prototype)",2000,Jackie Piper,1968,1968
"Stop Thief! Ply Chair, from the Smart Antitheft Furniture Range (Prototype)",2000,Marcus Willcocks,1977,1977
"Stop Thief! Ply Chair, from the Smart Antitheft Furniture Range (Prototype)",2000,Design Against Crime Research Initiative,2000,2000
"Stop Thief! Ply Chair, from the Smart Antitheft Furniture Range (Prototype)",2000,Central Saint Martins College of Art and Design,1957,1957
Guardian Angel handbag,2002,Carolien Vlieger,1975,1975
Guardian Angel handbag,2002,Hein van Dam,1974,1974
"Priscila Huggable Atomic Mushroom, from the Designs for Fragile Personalities in Anxious Times Project (Prototype)",2004,Anthony Dunne,1964,1964
"Priscila Huggable Atomic Mushroom, from the Designs for Fragile Personalities in Anxious Times Project (Prototype)",2004,Fiona Raby,1963,1963
"Priscila Huggable Atomic Mushroom, from the Designs for Fragile Personalities in Anxious Times Project (Prototype)",2004,Michael Anastassiades,1967,1967
